pOSymbols,slide_number,audio,btwncondition,goodPOChoice,pTwrongAnswer,pTChoice,Answer.time_in_minutes,primeType,pOwrongAnswer,responseSymbols,workerid,pTSentence,goodPTChoice,Answer.condition,trial_type,pOSentence,correctPChoices,response,image,primeStrength,responseSentence,correctPOChoice,correctPTChoice,slide_type,response_rt,primeOShuffle,pTSymbols,primeTShuffle,responseChoice,pOChoice,block_rt
"[8, 2, 6]",,,exh-only,1,"[8, 0, 0]",1,10.571433333333333,2,"[1, 0, 0]","[6, 8, 5]",9,5 + 1 = ?,1,undefined,response,2 + 6 = ?,False,,,3,There is a star.,False,True,,6895,"[0, 1]","[6, 5, 1]","[0, 1]",0,0,9718
"[6, 8, 3]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[6, 4, 0]",9,There is only a triangle.,0,undefined,response,There is only a star.,True,,,2,There is a star.,True,True,,1832,"[1, 0]","[9, 6, 3]","[1, 0]",0,0,5654
"[9, 6, 3]",,,exh-only,1,"[1, 0, 0]",1,10.571433333333333,1,"[7, 0, 0]","[8, 5, 0]",9,5 + 3 = ?,0,undefined,response,6 + 3 = ?,False,,,3,There are four notes.,False,False,,3136,"[0, 1]","[8, 5, 3]","[1, 0]",1,0,5923
"[7, 9, 1]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[0, 5, 6]",9,There are four clubs.,0,undefined,response,There are four circles.,True,,,0,There are four diamonds.,True,True,,1896,"[1, 0]","[1, 9, 5]","[1, 0]",0,0,8346
"[4, 1, 5]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[3, 5, 9]",9,There is a note.,0,undefined,response,There is a heart.,True,,,0,There is a spade.,True,True,,1806,"[1, 0]","[8, 9, 3]","[1, 0]",0,0,4863
"[7, 1, 3]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[5, 6, 0]",9,There are only four hearts.,0,undefined,filler,There are only four circles.,True,,,2,There are four squares.,True,True,,2550,"[1, 0]","[4, 6, 5]","[1, 0]",1,0,5364
"[6, 4, 5]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[6, 7, 5]",9,There are four clubs.,0,undefined,response,There are four stars.,True,,,1,There are four stars.,True,True,,3045,"[1, 0]","[1, 9, 2]","[1, 0]",0,0,5659
"[3, 0, 8]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[8, 7, 3]",9,There are four circles.,0,undefined,filler,There are four spades.,True,,,1,There are four notes.,True,True,,1629,"[0, 1]","[7, 6, 5]","[1, 0]",1,1,5036
"[9, 7, 2]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,0,"[0, 0, 0]","[8, 6, 2]",9,Some of the symbols are squares.,1,undefined,filler,Some of the symbols are triangles.,True,,,0,Some of the symbols are notes.,True,True,,2004,"[1, 0]","[5, 3, 2]","[0, 1]",1,0,6021
"[14, 8, 6]",,,exh-only,0,"[2, 0, 0]",0,10.571433333333333,1,"[9, 0, 0]","[0, 3, 5]",9,2 + 9 = ?,0,undefined,response,8 + 6 = ?,False,,,3,There are four diamonds.,False,True,,1502,"[1, 0]","[11, 2, 9]","[1, 0]",0,1,3911
"[2, 5, 7]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[0, 6, 4]",9,There is a diamond.,1,undefined,response,There is a tick.,True,,,0,There is a diamond.,True,True,,1737,"[0, 1]","[0, 6, 3]","[0, 1]",0,1,5572
"[1, 5, 3]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[7, 3, 4]",9,Some of the symbols are circles.,0,undefined,response,Some of the symbols are clubs.,True,,,1,Some of the symbols are circles.,True,True,,1709,"[1, 0]","[7, 3, 1]","[1, 0]",0,0,7525
"[2, 9, 3]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,1,"[0, 0, 0]","[9, 3, 1]",9,There are only four clubs.,1,undefined,response,There are only four ticks.,True,,,2,There are four triangles.,True,True,,2250,"[1, 0]","[1, 7, 9]","[0, 1]",0,0,5847
"[7, 2, 1]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[0, 4, 1]",9,Some of the symbols are stars.,0,undefined,filler,Some of the symbols are circles.,True,,,1,Some of the symbols are diamonds.,True,True,,5360,"[0, 1]","[6, 1, 9]","[1, 0]",1,1,10394
"[7, 1, 9]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[9, 3, 7]",9,Some of the symbols are diamonds.,0,undefined,filler,Some of the symbols are circles.,True,,,1,Some of the symbols are triangles.,True,True,,1528,"[0, 1]","[0, 7, 9]","[1, 0]",1,1,6421
"[4, 9, 8]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[8, 7, 3]",9,There is a circle.,1,undefined,response,There is a heart.,True,,,1,There is a note.,True,True,,1148,"[1, 0]","[7, 2, 0]","[0, 1]",0,0,3788
"[4, 1, 3]",,,exh-only,0,"[1, 0, 0]",1,10.571433333333333,0,"[5, 0, 0]","[7, 4, 3]",9,4 + 3 = ?,1,undefined,response,1 + 3 = ?,True,,,3,Some of the symbols are circles.,True,True,,2637,"[1, 0]","[7, 4, 3]","[0, 1]",0,0,4828
"[9, 3, 2]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[5, 6, 2]",9,There is a spade.,1,undefined,filler,There is a triangle.,True,,,1,There is a square.,True,True,,1986,"[1, 0]","[3, 6, 2]","[0, 1]",1,0,7140
"[6, 2, 7]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[6, 1, 2]",9,There are four squares.,0,undefined,filler,There are four stars.,True,,,1,There are four stars.,True,True,,2776,"[0, 1]","[5, 0, 3]","[1, 0]",1,1,5479
"[5, 2, 7]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[6, 0, 9]",9,There are four notes.,0,undefined,filler,There are four squares.,True,,,0,There are four stars.,True,True,,1585,"[1, 0]","[8, 1, 6]","[1, 0]",1,0,4903
"[7, 3, 4]",,,exh-only,0,"[8, 0, 0]",1,10.571433333333333,2,"[3, 0, 0]","[2, 3, 1]",9,9 + 4 = ?,0,undefined,response,3 + 4 = ?,False,,,3,There is a tick.,True,False,,1186,"[1, 0]","[13, 9, 4]","[1, 0]",0,0,5752
"[17, 9, 8]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,0,"[4, 0, 0]","[0, 1, 9]",9,7 + 8 = ?,1,undefined,response,9 + 8 = ?,True,,,3,Some of the symbols are diamonds.,True,True,,2383,"[1, 0]","[15, 7, 8]","[0, 1]",0,0,4463
"[1, 6, 5]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[5, 9, 1]",9,There are four stars.,0,undefined,response,There are four clubs.,True,,,1,There are four squares.,True,True,,1175,"[0, 1]","[6, 7, 9]","[1, 0]",0,1,9499
"[8, 5, 1]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[4, 3, 5]",9,There is a club.,0,undefined,filler,There is a note.,True,,,1,There is a heart.,True,True,,2379,"[1, 0]","[1, 9, 2]","[1, 0]",0,0,5077
"[9, 8, 1]",,,exh-only,1,"[4, 0, 0]",0,10.571433333333333,1,"[4, 0, 0]","[2, 1, 7]",9,6 + 2 = ?,1,undefined,response,8 + 1 = ?,False,,,3,There are four ticks.,True,False,,2296,"[0, 1]","[8, 6, 2]","[0, 1]",0,1,4904
"[6, 4, 9]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,1,"[0, 0, 0]","[7, 1, 4]",9,There are four spades.,1,undefined,filler,There are four stars.,True,,,1,There are four circles.,True,True,,1069,"[1, 0]","[3, 2, 7]","[0, 1]",1,0,3273
"[8, 2, 7]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[2, 8, 5]",9,Some of the symbols are clubs.,1,undefined,filler,Some of the symbols are notes.,False,,,1,Some of the symbols are ticks.,True,False,,2770,"[1, 0]","[1, 3, 4]","[0, 1]",1,0,7657
"[4, 0, 7]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[5, 7, 8]",9,There are only four clubs.,0,undefined,filler,There are only four hearts.,True,,,2,There are four squares.,True,True,,1328,"[0, 1]","[1, 5, 7]","[1, 0]",1,1,3525
"[5, 4, 7]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,1,"[0, 0, 0]","[6, 2, 7]",9,There are only four spades.,1,undefined,response,There are only four squares.,True,,,2,There are four stars.,True,True,,2899,"[0, 1]","[3, 2, 7]","[0, 1]",0,1,5078
"[7, 8, 0]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,1,"[0, 0, 0]","[9, 8, 0]",9,There are four triangles.,1,undefined,filler,There are four circles.,True,,,1,There are four triangles.,True,True,,1499,"[1, 0]","[9, 4, 7]","[0, 1]",1,0,3466
"[8, 4, 7]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[7, 2, 9]",9,There is a club.,1,undefined,filler,There is a note.,True,,,0,There is a circle.,True,True,,1382,"[0, 1]","[1, 8, 9]","[0, 1]",1,1,3834
"[5, 9, 4]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[3, 9, 5]",9,There is a triangle.,1,undefined,response,There is a square.,True,,,1,There is a spade.,True,True,,1507,"[0, 1]","[9, 3, 2]","[0, 1]",0,1,3599
"[9, 9, 0]",,,exh-only,0,"[9, 0, 0]",0,10.571433333333333,0,"[2, 0, 0]","[2, 7, 0]",9,7 + 6 = ?,1,undefined,filler,9 + 0 = ?,False,,,3,Some of the symbols are ticks.,False,False,,1817,"[1, 0]","[13, 7, 6]","[0, 1]",1,1,3547
"[4, 6, 5]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,1,"[0, 0, 0]","[7, 2, 6]",9,There are only four hearts.,1,undefined,filler,There are only four hearts.,True,,,2,There are four circles.,True,True,,1780,"[0, 1]","[4, 6, 8]","[0, 1]",1,1,3825
"[3, 8, 4]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[7, 6, 1]",9,There is a circle.,0,undefined,response,There is a spade.,True,,,1,There is a circle.,True,True,,2428,"[0, 1]","[7, 6, 2]","[1, 0]",0,1,5637
"[3, 8, 5]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[2, 1, 0]",9,There is a heart.,1,undefined,filler,There is a spade.,True,,,1,There is a tick.,True,True,,2006,"[1, 0]","[4, 9, 1]","[0, 1]",1,0,8770
"[0, 0, 0]",,,exh-only,1,"[2, 0, 0]",1,10.571433333333333,2,"[8, 0, 0]","[5, 8, 7]",9,8 + 9 = ?,1,undefined,filler,0 + 0 = ?,False,,,3,There is a square.,False,True,,2088,"[0, 1]","[17, 8, 9]","[0, 1]",1,0,4160
"[13, 8, 5]",,,exh-only,1,"[4, 0, 0]",0,10.571433333333333,2,"[4, 0, 0]","[8, 6, 2]",9,2 + 5 = ?,0,undefined,response,8 + 5 = ?,True,,,3,There is a note.,True,True,,1158,"[0, 1]","[7, 2, 5]","[1, 0]",0,1,3621
"[1, 4, 2]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,0,"[0, 0, 0]","[5, 2, 1]",9,Some of the symbols are triangles.,1,undefined,response,Some of the symbols are clubs.,True,,,0,Some of the symbols are squares.,True,True,,1428,"[1, 0]","[9, 3, 7]","[0, 1]",0,0,6388
"[6, 9, 0]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[4, 6, 1]",9,There is only a triangle.,1,undefined,filler,There is only a star.,True,,,2,There is a heart.,True,True,,1744,"[0, 1]","[9, 6, 8]","[0, 1]",0,1,4336
"[4, 3, 7]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,1,"[0, 0, 0]","[1, 7, 3]",9,There are four spades.,1,undefined,filler,There are four hearts.,True,,,0,There are four clubs.,True,True,,1355,"[0, 1]","[3, 1, 7]","[0, 1]",1,1,3763
"[2, 0, 4]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[2, 9, 5]",9,There is a circle.,1,undefined,response,There is a tick.,True,,,0,There is a tick.,True,True,,1221,"[0, 1]","[7, 9, 0]","[0, 1]",0,1,3625
"[4, 2, 6]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[1, 9, 6]",9,There is a spade.,0,undefined,response,There is a heart.,True,,,1,There is a club.,True,True,,1338,"[0, 1]","[3, 6, 8]","[1, 0]",0,1,4855
"[2, 5, 3]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,1,"[0, 0, 0]","[5, 9, 3]",9,There are four stars.,1,undefined,response,There are four ticks.,True,,,1,There are four squares.,True,True,,2286,"[0, 1]","[6, 8, 2]","[0, 1]",0,1,4183
"[13, 8, 5]",,,exh-only,0,"[4, 0, 0]",0,10.571433333333333,2,"[2, 0, 0]","[4, 7, 3]",9,2 + 3 = ?,0,undefined,filler,8 + 5 = ?,False,,,3,There is a heart.,False,True,,1659,"[1, 0]","[5, 2, 3]","[1, 0]",0,1,3738
"[8, 3, 5]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,0,"[0, 0, 0]","[3, 5, 2]",9,Some of the symbols are triangles.,1,undefined,response,Some of the symbols are notes.,True,,,1,Some of the symbols are spades.,True,True,,4613,"[1, 0]","[9, 8, 0]","[0, 1]",0,0,9347
"[8, 1, 9]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,0,"[0, 0, 0]","[9, 7, 1]",9,Some of the symbols are clubs.,1,undefined,filler,Some of the symbols are notes.,True,,,0,Some of the symbols are triangles.,True,True,,1715,"[0, 1]","[1, 9, 2]","[0, 1]",1,1,5809
"[3, 1, 0]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[6, 9, 7]",9,There is only a note.,1,undefined,response,There is only a spade.,True,,,2,There is a star.,True,True,,951,"[1, 0]","[8, 2, 0]","[0, 1]",0,0,4131
"[8, 4, 4]",,,exh-only,1,"[9, 0, 0]",1,10.571433333333333,0,"[0, 0, 0]","[0, 9, 8]",9,8 + 5 = ?,0,undefined,response,4 + 4 = ?,False,,,3,Some of the symbols are diamonds.,False,False,,1196,"[0, 1]","[13, 8, 5]","[1, 0]",0,0,2969
"[0, 0, 0]",,,exh-only,0,"[5, 0, 0]",0,10.571433333333333,1,"[1, 0, 0]","[8, 3, 4]",9,1 + 2 = ?,0,undefined,filler,0 + 0 = ?,False,,,3,There are four notes.,False,True,,1011,"[1, 0]","[3, 1, 2]","[1, 0]",1,1,3234
"[3, 0, 4]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[9, 8, 7]",9,There is only a heart.,0,undefined,filler,There is only a spade.,True,,,2,There is a triangle.,True,True,,1163,"[0, 1]","[4, 9, 7]","[1, 0]",1,1,3672
"[5, 8, 7]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,0,"[0, 0, 0]","[8, 9, 3]",9,Some of the symbols are squares.,1,undefined,response,Some of the symbols are squares.,True,,,0,Some of the symbols are notes.,True,True,,3656,"[1, 0]","[5, 9, 6]","[0, 1]",0,0,7045
"[4, 5, 0]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[8, 0, 9]",9,Some of the symbols are stars.,0,undefined,filler,Some of the symbols are hearts.,False,,,1,Some of the symbols are notes.,False,True,,1484,"[0, 1]","[6, 2, 1]","[1, 0]",1,0,5718
"[3, 8, 1]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[4, 8, 7]",9,Only some of the symbols are stars.,0,undefined,response,Only some of the symbols are spades.,True,,,2,Some of the symbols are hearts.,True,True,,3149,"[0, 1]","[6, 9, 7]","[1, 0]",0,1,11501
"[0, 7, 1]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[1, 5, 0]",9,There are four stars.,0,undefined,response,There are four diamonds.,True,,,0,There are four clubs.,True,True,,2488,"[0, 1]","[6, 3, 8]","[1, 0]",0,1,5591
"[9, 2, 7]",,,exh-only,1,"[1, 0, 0]",1,10.571433333333333,0,"[7, 0, 0]","[5, 2, 4]",9,9 + 6 = ?,1,undefined,response,2 + 7 = ?,False,,,3,Some of the symbols are squares.,False,True,,2468,"[0, 1]","[15, 9, 6]","[0, 1]",0,0,4939
"[2, 0, 5]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[3, 5, 1]",9,There are only four spades.,0,undefined,response,There are only four ticks.,True,,,2,There are four spades.,True,True,,1963,"[0, 1]","[3, 6, 0]","[1, 0]",0,1,5179
"[2, 1, 1]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[6, 0, 0]","[7, 5, 0]",9,4 + 0 = ?,1,undefined,filler,1 + 1 = ?,False,,,3,There is a circle.,False,True,,1493,"[0, 1]","[4, 4, 0]","[0, 1]",1,0,3469
"[7, 3, 4]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[0, 1, 9]",9,There is only a square.,0,undefined,response,There is only a circle.,True,,,2,There is a diamond.,True,True,,980,"[1, 0]","[5, 6, 4]","[1, 0]",0,0,3978
"[10, 6, 4]",,,exh-only,0,"[9, 0, 0]",1,10.571433333333333,2,"[5, 0, 0]","[8, 9, 5]",9,3 + 4 = ?,1,undefined,filler,6 + 4 = ?,True,,,3,There is a note.,True,True,,1276,"[1, 0]","[7, 3, 4]","[0, 1]",1,0,3480
"[9, 1, 6]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,1,"[0, 0, 0]","[4, 5, 9]",9,There are four squares.,1,undefined,response,There are four triangles.,True,,,0,There are four hearts.,True,True,,1630,"[0, 1]","[5, 6, 3]","[0, 1]",0,1,3864
"[0, 8, 9]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[3, 4, 6]",9,There is a triangle.,1,undefined,response,There is a diamond.,True,,,0,There is a spade.,True,True,,1239,"[0, 1]","[9, 7, 5]","[0, 1]",0,1,7974
"[7, 6, 4]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,0,"[0, 0, 0]","[9, 4, 0]",9,Some of the symbols are clubs.,1,undefined,response,Some of the symbols are circles.,True,,,0,Some of the symbols are triangles.,True,True,,1010,"[0, 1]","[1, 4, 9]","[0, 1]",0,1,5909
"[8, 6, 7]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[8, 2, 9]",9,There is a star.,1,undefined,filler,There is a note.,True,,,0,There is a note.,True,True,,1457,"[0, 1]","[6, 5, 0]","[0, 1]",1,1,3633
"[11, 7, 4]",,,exh-only,0,"[4, 0, 0]",1,10.571433333333333,2,"[6, 0, 0]","[7, 1, 2]",9,8 + 2 = ?,1,undefined,response,7 + 4 = ?,True,,,3,There is a circle.,True,True,,1118,"[1, 0]","[10, 8, 2]","[0, 1]",0,0,3179
"[7, 5, 9]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[2, 3, 1]",9,There is a spade.,1,undefined,filler,There is a circle.,True,,,0,There is a tick.,True,True,,1648,"[0, 1]","[3, 4, 7]","[0, 1]",1,1,3904
"[2, 6, 7]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[8, 7, 2]",9,Only some of the symbols are hearts.,0,undefined,filler,Only some of the symbols are ticks.,True,,,2,Some of the symbols are notes.,True,True,,1558,"[1, 0]","[4, 7, 3]","[1, 0]",1,0,4941
"[8, 7, 6]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[9, 1, 8]",9,Only some of the symbols are stars.,0,undefined,filler,Only some of the symbols are notes.,True,,,2,Some of the symbols are triangles.,True,True,,9007,"[0, 1]","[6, 2, 5]","[1, 0]",1,1,12354
"[9, 2, 3]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[4, 1, 9]",9,Only some of the symbols are hearts.,0,undefined,filler,Only some of the symbols are triangles.,True,,,2,Some of the symbols are hearts.,True,True,,1366,"[1, 0]","[4, 8, 7]","[1, 0]",0,0,5777
"[7, 2, 8]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[8, 6, 1]",9,There are four triangles.,0,undefined,response,There are four circles.,True,,,0,There are four notes.,True,True,,975,"[1, 0]","[9, 3, 1]","[1, 0]",0,0,3880
"[8, 9, 0]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,0,"[0, 0, 0]","[8, 9, 1]",9,Some of the symbols are ticks.,1,undefined,response,Some of the symbols are notes.,True,,,1,Some of the symbols are notes.,True,True,,1498,"[1, 0]","[2, 0, 4]","[0, 1]",0,0,8724
"[0, 3, 5]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[2, 7, 9]",9,There is a triangle.,0,undefined,filler,There is a diamond.,True,,,1,There is a tick.,True,True,,1820,"[1, 0]","[9, 0, 2]","[1, 0]",1,0,4466
"[0, 1, 4]",,,exh-only,0,"[0, 0, 0]",1,10.571433333333333,0,"[0, 0, 0]","[2, 4, 5]",9,Some of the symbols are spades.,1,undefined,response,Some of the symbols are diamonds.,True,,,0,Some of the symbols are ticks.,True,True,,1022,"[1, 0]","[3, 1, 7]","[0, 1]",0,0,5807
"[7, 3, 4]",,,exh-only,1,"[4, 0, 0]",0,10.571433333333333,1,"[5, 0, 0]","[4, 0, 5]",9,7 + 1 = ?,0,undefined,response,3 + 4 = ?,True,,,3,There are four hearts.,True,True,,1024,"[0, 1]","[8, 7, 1]","[1, 0]",0,1,3294
"[10, 4, 6]",,,exh-only,1,"[9, 0, 0]",0,10.571433333333333,1,"[3, 0, 0]","[5, 0, 3]",9,0 + 3 = ?,0,undefined,filler,4 + 6 = ?,True,,,3,There are four squares.,True,True,,1299,"[0, 1]","[3, 0, 3]","[1, 0]",1,1,3101
"[11, 3, 8]",,,exh-only,1,"[3, 0, 0]",0,10.571433333333333,1,"[6, 0, 0]","[2, 6, 4]",9,3 + 2 = ?,0,undefined,filler,3 + 8 = ?,True,,,3,There are four ticks.,True,True,,1110,"[0, 1]","[5, 3, 2]","[1, 0]",1,1,3257
"[3, 3, 0]",,,exh-only,1,"[1, 0, 0]",0,10.571433333333333,1,"[7, 0, 0]","[0, 3, 1]",9,6 + 6 = ?,1,undefined,filler,3 + 0 = ?,False,,,3,There are four diamonds.,True,False,,1635,"[0, 1]","[12, 6, 6]","[0, 1]",1,1,3310
"[11, 3, 8]",,,exh-only,0,"[6, 0, 0]",0,10.571433333333333,0,"[2, 0, 0]","[5, 0, 2]",9,8 + 5 = ?,1,undefined,filler,3 + 8 = ?,False,,,3,Some of the symbols are squares.,False,False,,3734,"[1, 0]","[13, 8, 5]","[0, 1]",1,1,5782
"[7, 8, 3]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[1, 2, 0]",9,There is only a diamond.,0,undefined,filler,There is only a circle.,True,,,2,There is a club.,True,True,,1775,"[1, 0]","[0, 8, 9]","[1, 0]",1,0,4349
"[3, 8, 2]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[2, 1, 9]",9,There are four diamonds.,0,undefined,response,There are four spades.,True,,,1,There are four ticks.,True,True,,2837,"[1, 0]","[0, 8, 5]","[1, 0]",0,0,5378
"[2, 5, 7]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,0,"[0, 0, 0]","[3, 6, 5]",9,Only some of the symbols are notes.,0,undefined,filler,Only some of the symbols are ticks.,True,,,2,Some of the symbols are spades.,True,True,,4169,"[0, 1]","[8, 6, 3]","[1, 0]",1,1,8764
"[3, 1, 4]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,2,"[0, 0, 0]","[8, 3, 5]",9,There is only a circle.,0,undefined,response,There is only a spade.,True,,,2,There is a note.,True,True,,1932,"[0, 1]","[7, 3, 2]","[1, 0]",0,1,4795
"[9, 3, 8]",,,exh-only,0,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[6, 2, 8]",9,There are four diamonds.,0,undefined,filler,There are four triangles.,True,,,0,There are four stars.,True,True,,3011,"[1, 0]","[0, 5, 8]","[1, 0]",1,0,5619
"[7, 8, 2]",,,exh-only,1,"[0, 0, 0]",0,10.571433333333333,1,"[0, 0, 0]","[9, 4, 5]",9,There are only four hearts.,0,undefined,response,There are only four circles.,True,,,2,There are four triangles.,True,True,,1625,"[0, 1]","[4, 6, 3]","[1, 0]",0,1,3748
"[6, 4, 8]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,1,"[0, 0, 0]","[3, 5, 2]",9,There are four triangles.,1,undefined,filler,There are four stars.,True,,,0,There are four spades.,True,True,,2228,"[0, 1]","[9, 6, 1]","[0, 1]",1,1,6741
"[9, 9, 0]",,,exh-only,1,"[6, 0, 0]",1,10.571433333333333,0,"[3, 0, 0]","[5, 4, 9]",9,4 + 7 = ?,0,undefined,filler,9 + 0 = ?,False,,,3,Some of the symbols are squares.,False,False,,1718,"[0, 1]","[11, 4, 7]","[1, 0]",1,0,4692
"[9, 7, 8]",,,exh-only,1,"[0, 0, 0]",1,10.571433333333333,2,"[0, 0, 0]","[1, 3, 4]",9,There is only a spade.,1,undefined,filler,There is only a triangle.,True,,,2,There is a club.,True,True,,2771,"[0, 1]","[3, 8, 6]","[0, 1]",0,1,6909
,1,,,,,,13.194733333333334,,,,10,,,undefined,,,,"[0, 'Linda']",Linda,,,,,bot_check,,,,,,,
"[9, 1, 8]",,,exh-only,0,"[6, 0, 0]",1,13.194733333333334,1,"[7, 0, 0]","[4, 3, 0]",10,4 + 4 = ?,0,undefined,response,1 + 8 = ?,False,,,3,There are four hearts.,True,False,,3046,"[1, 0]","[8, 4, 4]","[1, 0]",0,0,9435
"[9, 8, 7]",,,exh-only,0,"[0, 0, 0]",1,13.194733333333334,2,"[0, 0, 0]","[3, 1, 4]",10,There is a square.,1,undefined,filler,There is a triangle.,True,,,0,There is a spade.,True,True,,3422,"[1, 0]","[5, 7, 2]","[0, 1]",1,0,10607
"[1, 2, 0]",,,exh-only,0,"[0, 0, 0]",0,13.194733333333334,0,"[0, 0, 0]","[2, 3, 9]",10,Some of the symbols are circles.,1,undefined,filler,Some of the symbols are clubs.,False,,,1,Some of the symbols are ticks.,False,False,,3038,"[1, 0]","[7, 5, 8]","[0, 1]",1,1,8656
"[3, 0, 8]",,,exh-only,1,"[0, 0, 0]",0,13.194733333333334,0,"[0, 0, 0]","[6, 5, 3]",10,Only some of the symbols are circles.,1,undefined,response,Only some of the symbols are spades.,False,,,2,Some of the symbols are stars.,False,False,,1303,"[0, 1]","[7, 6, 9]","[0, 1]",0,0,5184
"[5, 3, 6]",,,exh-only,0,"[0, 0, 0]",1,13.194733333333334,0,"[0, 0, 0]","[0, 3, 5]",10,Only some of the symbols are hearts.,0,undefined,response,Only some of the symbols are squares.,False,,,2,Some of the symbols are diamonds.,False,False,,2966,"[1, 0]","[4, 9, 7]","[1, 0]",0,1,6384
