btwncondition,correctPChoices,responseSentence,correctPTChoice,pOSentence,primeType,response,block_rt,slide_number,image,primeTShuffle,pTwrongAnswer,response_rt,pOChoice,responseSymbols,pOwrongAnswer,pTSymbols,audio,Answer.time_in_minutes,pOSymbols,primeStrength,primeOShuffle,pTChoice,goodPTChoice,Answer.condition,goodPOChoice,slide_type,pTSentence,responseChoice,trial_type,workerid,correctPOChoice
exh-only,True,Some of the symbols are triangles.,True,Only some of the symbols are diamonds.,0,,11901,,,"[1, 0]","[0, 0, 0]",3699,1,"[9, 3, 4]","[0, 0, 0]","[1, 0, 3]",,9.172316666666667,"[0, 4, 8]",2,"[0, 1]",0,0,undefined,1,,Only some of the symbols are clubs.,0,response,10,True
exh-only,True,There are four triangles.,True,There are only four stars.,1,,9699,,,"[1, 0]","[0, 0, 0]",3278,1,"[9, 5, 4]","[0, 0, 0]","[4, 7, 3]",,9.172316666666667,"[6, 9, 1]",2,"[0, 1]",0,0,undefined,1,,There are only four hearts.,1,filler,10,True
exh-only,False,Some of the symbols are stars.,True,1 + 9 = ?,0,,9425,,,"[0, 1]","[5, 0, 0]",3337,0,"[6, 5, 2]","[8, 0, 0]","[11, 2, 9]",,9.172316666666667,"[10, 1, 9]",3,"[0, 1]",1,1,undefined,1,,2 + 9 = ?,1,filler,10,False
exh-only,True,Some of the symbols are diamonds.,True,Only some of the symbols are circles.,0,,9375,,,"[0, 1]","[0, 0, 0]",3160,1,"[0, 7, 1]","[0, 0, 0]","[1, 5, 2]",,9.172316666666667,"[7, 3, 4]",2,"[0, 1]",1,1,undefined,1,,Only some of the symbols are clubs.,1,filler,10,True
exh-only,True,There is a note.,True,There is only a club.,2,,10990,,,"[1, 0]","[0, 0, 0]",3483,1,"[8, 6, 2]","[0, 0, 0]","[4, 2, 0]",,9.172316666666667,"[1, 2, 8]",2,"[0, 1]",0,0,undefined,1,,There is only a heart.,1,filler,10,True
exh-only,True,Some of the symbols are clubs.,True,Some of the symbols are notes.,0,,8613,,,"[1, 0]","[0, 0, 0]",2916,1,"[1, 9, 5]","[0, 0, 0]","[8, 9, 6]",,9.172316666666667,"[8, 7, 1]",0,"[0, 1]",0,0,undefined,1,,Some of the symbols are notes.,0,response,10,True
exh-only,True,There are four hearts.,True,There are four notes.,1,,8240,,,"[0, 1]","[0, 0, 0]",2495,0,"[4, 3, 8]","[0, 0, 0]","[0, 8, 2]",,9.172316666666667,"[8, 7, 0]",1,"[1, 0]",1,1,undefined,0,,There are four diamonds.,1,response,10,True
exh-only,True,There are four spades.,True,There are four diamonds.,1,,8974,,,"[1, 0]","[0, 0, 0]",2935,1,"[3, 6, 7]","[0, 0, 0]","[1, 3, 0]",,9.172316666666667,"[0, 5, 3]",0,"[0, 1]",0,0,undefined,1,,There are four clubs.,1,filler,10,True
exh-only,False,There is a triangle.,False,8 + 8 = ?,2,,7770,,,"[0, 1]","[9, 0, 0]",2583,1,"[9, 6, 3]","[1, 0, 0]","[8, 4, 4]",,9.172316666666667,"[16, 8, 8]",3,"[0, 1]",0,1,undefined,1,,4 + 4 = ?,1,filler,10,True
exh-only,False,Some of the symbols are diamonds.,True,1 + 3 = ?,0,,12067,,,"[1, 0]","[9, 0, 0]",5362,1,"[0, 5, 9]","[7, 0, 0]","[12, 4, 8]",,9.172316666666667,"[4, 1, 3]",3,"[1, 0]",0,0,undefined,0,,4 + 8 = ?,1,response,10,False
exh-only,True,Some of the symbols are ticks.,True,Some of the symbols are clubs.,0,,8422,,,"[0, 1]","[0, 0, 0]",2256,0,"[2, 6, 9]","[0, 0, 0]","[5, 6, 2]",,9.172316666666667,"[1, 9, 6]",1,"[1, 0]",1,1,undefined,0,,Some of the symbols are squares.,1,filler,10,True
exh-only,True,There are four spades.,True,There are four notes.,1,,3325,,,"[0, 1]","[0, 0, 0]",1171,0,"[3, 8, 0]","[0, 0, 0]","[3, 8, 5]",,9.172316666666667,"[8, 2, 5]",0,"[1, 0]",1,1,undefined,0,,There are four spades.,1,filler,10,True
exh-only,True,There are four squares.,True,There are four hearts.,1,,4921,,,"[1, 0]","[0, 0, 0]",2750,1,"[5, 3, 7]","[0, 0, 0]","[3, 1, 0]",,9.172316666666667,"[4, 7, 1]",0,"[0, 1]",0,0,undefined,1,,There are four spades.,1,response,10,True
exh-only,True,There is a spade.,True,There is only a square.,2,,4748,,,"[1, 0]","[0, 0, 0]",1718,1,"[3, 2, 7]","[0, 0, 0]","[1, 7, 6]",,9.172316666666667,"[5, 7, 2]",2,"[0, 1]",0,0,undefined,1,,There is only a club.,0,response,10,True
exh-only,True,There are four squares.,True,There are four spades.,1,,4661,,,"[1, 0]","[0, 0, 0]",2399,0,"[5, 2, 1]","[0, 0, 0]","[5, 2, 4]",,9.172316666666667,"[3, 7, 8]",0,"[1, 0]",0,0,undefined,0,,There are four squares.,0,response,10,True
exh-only,False,There are four circles.,True,There are only four triangles.,1,,3945,,,"[0, 1]","[0, 0, 0]",1605,1,"[7, 2, 8]","[0, 0, 0]","[3, 7, 1]",,9.172316666666667,"[9, 6, 1]",2,"[1, 0]",1,1,undefined,0,,There are only four spades.,1,response,10,False
exh-only,False,There are four circles.,True,3 + 9 = ?,1,,3724,,,"[1, 0]","[6, 0, 0]",1056,1,"[7, 5, 1]","[9, 0, 0]","[12, 5, 7]",,9.172316666666667,"[12, 3, 9]",3,"[1, 0]",0,0,undefined,0,,5 + 7 = ?,1,filler,10,False
exh-only,True,Some of the symbols are ticks.,True,Some of the symbols are diamonds.,0,,3767,,,"[0, 1]","[0, 0, 0]",1248,1,"[2, 3, 8]","[0, 0, 0]","[6, 2, 1]",,9.172316666666667,"[0, 7, 3]",0,"[0, 1]",1,1,undefined,1,,Some of the symbols are stars.,1,filler,10,True
exh-only,False,Some of the symbols are circles.,False,5 + 2 = ?,0,,4148,,,"[1, 0]","[5, 0, 0]",2179,0,"[7, 1, 0]","[1, 0, 0]","[4, 4, 0]",,9.172316666666667,"[7, 5, 2]",3,"[1, 0]",1,0,undefined,0,,4 + 0 = ?,1,filler,10,True
exh-only,False,There is a club.,True,0 + 3 = ?,2,,3521,,,"[0, 1]","[4, 0, 0]",1271,0,"[1, 3, 6]","[0, 0, 0]","[11, 5, 6]",,9.172316666666667,"[3, 0, 3]",3,"[0, 1]",1,1,undefined,1,,5 + 6 = ?,0,filler,10,False
exh-only,False,Some of the symbols are clubs.,False,8 + 4 = ?,0,,3974,,,"[0, 1]","[0, 0, 0]",1890,1,"[1, 8, 4]","[5, 0, 0]","[3, 1, 2]",,9.172316666666667,"[12, 8, 4]",3,"[1, 0]",0,1,undefined,0,,1 + 2 = ?,1,response,10,False
exh-only,False,There are four circles.,True,3 + 9 = ?,1,,2919,,,"[1, 0]","[1, 0, 0]",1069,1,"[7, 6, 8]","[8, 0, 0]","[9, 4, 5]",,9.172316666666667,"[12, 3, 9]",3,"[1, 0]",0,0,undefined,0,,4 + 5 = ?,1,filler,10,False
exh-only,True,There is a tick.,True,There is a club.,2,,5631,,,"[0, 1]","[0, 0, 0]",1214,0,"[2, 4, 7]","[0, 0, 0]","[8, 2, 7]",,9.172316666666667,"[1, 9, 5]",1,"[1, 0]",1,1,undefined,0,,There is a note.,0,response,10,True
exh-only,False,There are four hearts.,True,5 + 0 = ?,1,,3304,,,"[0, 1]","[6, 0, 0]",998,0,"[4, 1, 6]","[2, 0, 0]","[13, 7, 6]",,9.172316666666667,"[5, 5, 0]",3,"[0, 1]",1,1,undefined,1,,7 + 6 = ?,0,response,10,False
exh-only,False,There is a club.,False,0 + 4 = ?,2,,3239,,,"[1, 0]","[2, 0, 0]",1106,0,"[1, 2, 4]","[5, 0, 0]","[12, 9, 3]",,9.172316666666667,"[4, 0, 4]",3,"[1, 0]",1,0,undefined,0,,9 + 3 = ?,0,response,10,True
exh-only,True,Some of the symbols are hearts.,True,Some of the symbols are stars.,0,,4074,,,"[0, 1]","[0, 0, 0]",1573,0,"[4, 6, 9]","[0, 0, 0]","[5, 4, 2]",,9.172316666666667,"[6, 5, 8]",1,"[1, 0]",1,1,undefined,0,,Some of the symbols are squares.,1,filler,10,True
exh-only,True,There are four notes.,True,There are only four spades.,1,,4233,,,"[1, 0]","[0, 0, 0]",1424,1,"[8, 1, 5]","[0, 0, 0]","[2, 0, 6]",,9.172316666666667,"[3, 6, 7]",2,"[0, 1]",0,0,undefined,1,,There are only four ticks.,1,filler,10,True
exh-only,False,There is a club.,False,1 + 6 = ?,2,,3643,,,"[1, 0]","[0, 0, 0]",1441,0,"[1, 7, 4]","[8, 0, 0]","[9, 4, 5]",,9.172316666666667,"[7, 1, 6]",3,"[1, 0]",1,0,undefined,0,,4 + 5 = ?,1,filler,10,True
exh-only,True,Some of the symbols are squares.,True,Only some of the symbols are circles.,0,,4323,,,"[1, 0]","[0, 0, 0]",1461,1,"[5, 3, 1]","[0, 0, 0]","[7, 3, 5]",,9.172316666666667,"[7, 9, 6]",2,"[0, 1]",0,0,undefined,1,,Only some of the symbols are circles.,1,response,10,True
exh-only,True,Some of the symbols are squares.,True,Only some of the symbols are clubs.,0,,7364,,,"[0, 1]","[0, 0, 0]",2713,1,"[5, 6, 1]","[0, 0, 0]","[5, 2, 9]",,9.172316666666667,"[1, 4, 0]",2,"[0, 1]",1,1,undefined,1,,Only some of the symbols are squares.,0,response,10,True
exh-only,True,Some of the symbols are ticks.,True,Some of the symbols are hearts.,0,,5728,,,"[0, 1]","[0, 0, 0]",1645,0,"[2, 8, 5]","[0, 0, 0]","[9, 2, 4]",,9.172316666666667,"[4, 9, 3]",0,"[1, 0]",1,1,undefined,0,,Some of the symbols are triangles.,1,filler,10,True
exh-only,True,There are four squares.,True,There are four stars.,1,,4034,,,"[1, 0]","[0, 0, 0]",1609,0,"[5, 0, 4]","[0, 0, 0]","[9, 7, 1]",,9.172316666666667,"[6, 4, 3]",0,"[1, 0]",0,0,undefined,0,,There are four triangles.,1,filler,10,True
exh-only,True,Some of the symbols are ticks.,True,Some of the symbols are circles.,0,,4445,,,"[1, 0]","[0, 0, 0]",1175,0,"[2, 5, 8]","[0, 0, 0]","[5, 4, 9]",,9.172316666666667,"[7, 8, 1]",1,"[1, 0]",0,0,undefined,0,,Some of the symbols are squares.,1,filler,10,True
exh-only,True,Some of the symbols are hearts.,True,Only some of the symbols are clubs.,0,,5048,,,"[1, 0]","[0, 0, 0]",1880,1,"[4, 8, 5]","[0, 0, 0]","[3, 9, 5]",,9.172316666666667,"[1, 2, 4]",2,"[0, 1]",0,0,undefined,1,,Only some of the symbols are spades.,0,response,10,True
exh-only,True,There are four ticks.,True,There are four notes.,1,,4120,,,"[0, 1]","[0, 0, 0]",1489,0,"[2, 1, 8]","[0, 0, 0]","[0, 7, 6]",,9.172316666666667,"[8, 4, 1]",1,"[1, 0]",1,1,undefined,0,,There are four diamonds.,1,response,10,True
exh-only,True,There is a club.,True,There is a spade.,2,,4613,,,"[0, 1]","[0, 0, 0]",1508,1,"[1, 4, 5]","[0, 0, 0]","[6, 1, 5]",,9.172316666666667,"[3, 0, 6]",0,"[0, 1]",1,1,undefined,1,,There is a star.,0,response,10,True
exh-only,False,Some of the symbols are ticks.,False,4 + 3 = ?,0,,7661,,,"[0, 1]","[1, 0, 0]",5311,1,"[2, 9, 0]","[6, 0, 0]","[10, 7, 3]",,9.172316666666667,"[7, 4, 3]",3,"[0, 1]",0,1,undefined,1,,7 + 3 = ?,1,response,10,True
exh-only,True,There is a square.,True,8 + 1 = ?,2,,6723,,,"[1, 0]","[5, 0, 0]",2309,1,"[5, 4, 9]","[8, 0, 0]","[11, 8, 3]",,9.172316666666667,"[9, 8, 1]",3,"[0, 1]",0,0,undefined,1,,8 + 3 = ?,0,response,10,True
exh-only,True,There is a circle.,True,There is a note.,2,,4320,,,"[1, 0]","[0, 0, 0]",1044,0,"[7, 3, 5]","[0, 0, 0]","[1, 2, 5]",,9.172316666666667,"[8, 6, 2]",1,"[1, 0]",0,0,undefined,0,,There is a club.,0,response,10,True
exh-only,True,There are four triangles.,True,There are only four diamonds.,1,,4041,,,"[0, 1]","[0, 0, 0]",1714,1,"[9, 3, 6]","[0, 0, 0]","[6, 5, 3]",,9.172316666666667,"[0, 9, 4]",2,"[0, 1]",1,1,undefined,1,,There are only four stars.,1,filler,10,True
exh-only,True,There are four hearts.,True,There are four ticks.,1,,3504,,,"[0, 1]","[0, 0, 0]",1161,0,"[4, 7, 0]","[0, 0, 0]","[1, 8, 3]",,9.172316666666667,"[2, 4, 9]",1,"[1, 0]",1,1,undefined,0,,There are four clubs.,0,response,10,True
exh-only,False,There is a triangle.,False,6 + 7 = ?,2,,2949,,,"[0, 1]","[8, 0, 0]",1200,1,"[9, 8, 4]","[1, 0, 0]","[2, 2, 0]",,9.172316666666667,"[13, 6, 7]",3,"[0, 1]",0,1,undefined,1,,2 + 0 = ?,1,filler,10,True
exh-only,True,There is a club.,True,There is a star.,2,,3704,,,"[0, 1]","[0, 0, 0]",1084,1,"[1, 9, 5]","[0, 0, 0]","[6, 1, 5]",,9.172316666666667,"[6, 5, 0]",0,"[0, 1]",1,1,undefined,1,,There is a star.,1,filler,10,True
exh-only,False,There are four squares.,False,6 + 6 = ?,1,,2951,,,"[1, 0]","[5, 0, 0]",1107,0,"[5, 7, 8]","[6, 0, 0]","[9, 1, 8]",,9.172316666666667,"[12, 6, 6]",3,"[1, 0]",1,0,undefined,0,,1 + 8 = ?,1,filler,10,True
exh-only,True,There is a triangle.,True,There is only a square.,2,,4975,,,"[1, 0]","[0, 0, 0]",1707,1,"[9, 2, 4]","[0, 0, 0]","[8, 4, 0]",,9.172316666666667,"[5, 6, 8]",2,"[0, 1]",0,0,undefined,1,,There is only a note.,0,response,10,True
exh-only,True,Some of the symbols are triangles.,True,Some of the symbols are triangles.,0,,5147,,,"[0, 1]","[0, 0, 0]",1323,1,"[9, 7, 6]","[0, 0, 0]","[6, 9, 1]",,9.172316666666667,"[9, 3, 8]",0,"[0, 1]",1,1,undefined,1,,Some of the symbols are stars.,0,response,10,True
exh-only,True,Some of the symbols are stars.,True,Only some of the symbols are spades.,0,,6284,,,"[0, 1]","[0, 0, 0]",1613,0,"[6, 8, 4]","[0, 0, 0]","[9, 6, 4]",,9.172316666666667,"[3, 4, 1]",2,"[1, 0]",1,1,undefined,0,,Only some of the symbols are triangles.,1,filler,10,True
exh-only,True,Some of the symbols are stars.,True,Only some of the symbols are diamonds.,0,,6810,,,"[1, 0]","[0, 0, 0]",3775,1,"[6, 5, 4]","[0, 0, 0]","[8, 3, 0]",,9.172316666666667,"[0, 2, 6]",2,"[0, 1]",0,0,undefined,1,,Only some of the symbols are notes.,1,filler,10,True
exh-only,True,Some of the symbols are diamonds.,True,Some of the symbols are clubs.,0,,5465,,,"[0, 1]","[0, 0, 0]",2222,1,"[0, 3, 1]","[0, 0, 0]","[3, 4, 7]",,9.172316666666667,"[1, 8, 2]",1,"[0, 1]",1,1,undefined,1,,Some of the symbols are spades.,1,response,10,True
exh-only,True,Some of the symbols are notes.,True,Some of the symbols are spades.,0,,5408,,,"[1, 0]","[0, 0, 0]",1285,0,"[8, 6, 3]","[0, 0, 0]","[7, 0, 1]",,9.172316666666667,"[3, 0, 5]",0,"[1, 0]",0,0,undefined,0,,Some of the symbols are circles.,1,response,10,True
exh-only,True,There is a circle.,True,There is a spade.,2,,4685,,,"[0, 1]","[0, 0, 0]",1831,1,"[7, 1, 9]","[0, 0, 0]","[7, 6, 0]",,9.172316666666667,"[3, 1, 2]",1,"[0, 1]",1,1,undefined,1,,There is a circle.,1,filler,10,True
exh-only,True,There are four stars.,True,There are four spades.,1,,3266,,,"[0, 1]","[0, 0, 0]",995,0,"[6, 2, 4]","[0, 0, 0]","[7, 6, 4]",,9.172316666666667,"[3, 5, 8]",0,"[1, 0]",1,1,undefined,0,,There are four circles.,1,filler,10,True
exh-only,True,Some of the symbols are clubs.,True,Some of the symbols are stars.,0,,4971,,,"[0, 1]","[0, 0, 0]",1554,1,"[1, 0, 8]","[0, 0, 0]","[9, 0, 4]",,9.172316666666667,"[6, 0, 7]",1,"[0, 1]",1,1,undefined,1,,Some of the symbols are triangles.,0,response,10,True
exh-only,True,There is a diamond.,True,There is a note.,2,,3704,,,"[1, 0]","[0, 0, 0]",1591,1,"[0, 3, 8]","[0, 0, 0]","[8, 1, 6]",,9.172316666666667,"[8, 9, 6]",1,"[0, 1]",0,0,undefined,1,,There is a note.,1,response,10,True
exh-only,True,There are four stars.,True,There are only four ticks.,1,,3832,,,"[1, 0]","[0, 0, 0]",1068,1,"[6, 0, 1]","[0, 0, 0]","[2, 7, 8]",,9.172316666666667,"[2, 4, 6]",2,"[0, 1]",0,0,undefined,1,,There are only four ticks.,1,response,10,True
exh-only,False,Some of the symbols are circles.,True,9 + 5 = ?,0,,4453,,,"[0, 1]","[0, 0, 0]",1249,0,"[7, 8, 5]","[8, 0, 0]","[7, 6, 1]",,9.172316666666667,"[14, 9, 5]",3,"[0, 1]",1,1,undefined,1,,6 + 1 = ?,1,filler,10,False
exh-only,True,Some of the symbols are triangles.,True,Some of the symbols are circles.,0,,3843,,,"[1, 0]","[0, 0, 0]",1500,1,"[9, 0, 3]","[0, 0, 0]","[0, 9, 2]",,9.172316666666667,"[7, 9, 2]",0,"[0, 1]",0,0,undefined,1,,Some of the symbols are diamonds.,1,filler,10,True
exh-only,True,There is a diamond.,True,There is a heart.,2,,3804,,,"[0, 1]","[0, 0, 0]",1321,0,"[0, 3, 9]","[0, 0, 0]","[3, 7, 0]",,9.172316666666667,"[4, 6, 3]",0,"[1, 0]",1,1,undefined,0,,There is a spade.,1,filler,10,True
exh-only,True,There are four triangles.,True,1 + 5 = ?,1,,3134,,,"[1, 0]","[5, 0, 0]",1051,1,"[9, 0, 3]","[0, 0, 0]","[16, 9, 7]",,9.172316666666667,"[6, 1, 5]",3,"[0, 1]",0,0,undefined,1,,9 + 7 = ?,1,filler,10,True
exh-only,True,There is a heart.,True,There is a heart.,2,,3858,,,"[1, 0]","[0, 0, 0]",1054,0,"[4, 0, 8]","[0, 0, 0]","[7, 5, 4]",,9.172316666666667,"[4, 8, 0]",1,"[1, 0]",0,0,undefined,0,,There is a circle.,1,filler,10,True
exh-only,True,There is a note.,True,There is only a circle.,2,,4447,,,"[0, 1]","[0, 0, 0]",1625,0,"[8, 5, 7]","[0, 0, 0]","[0, 4, 8]",,9.172316666666667,"[7, 6, 8]",2,"[1, 0]",1,1,undefined,0,,There is only a diamond.,1,filler,10,True
exh-only,True,There are four hearts.,True,There are four squares.,1,,3520,,,"[1, 0]","[0, 0, 0]",1088,0,"[4, 3, 1]","[0, 0, 0]","[8, 2, 1]",,9.172316666666667,"[5, 6, 7]",1,"[1, 0]",0,0,undefined,0,,There are four notes.,1,filler,10,True
exh-only,True,There is a note.,True,There is a spade.,2,,6535,,,"[1, 0]","[0, 0, 0]",2394,0,"[8, 0, 7]","[0, 0, 0]","[0, 3, 6]",,9.172316666666667,"[3, 6, 1]",0,"[1, 0]",0,0,undefined,0,,There is a diamond.,0,response,10,True
exh-only,True,There are four triangles.,True,There are only four ticks.,1,,5255,,,"[0, 1]","[0, 0, 0]",2977,0,"[9, 2, 1]","[0, 0, 0]","[8, 4, 0]",,9.172316666666667,"[2, 3, 5]",2,"[1, 0]",1,1,undefined,0,,There are only four notes.,0,response,10,True
exh-only,True,Some of the symbols are diamonds.,True,Some of the symbols are spades.,0,,5439,,,"[1, 0]","[0, 0, 0]",1259,0,"[0, 4, 7]","[0, 0, 0]","[9, 1, 3]",,9.172316666666667,"[3, 4, 7]",0,"[1, 0]",0,0,undefined,0,,Some of the symbols are triangles.,0,response,10,True
exh-only,True,There is a triangle.,True,There is a spade.,2,,4024,,,"[1, 0]","[0, 0, 0]",1214,1,"[9, 1, 2]","[0, 0, 0]","[6, 8, 0]",,9.172316666666667,"[3, 9, 1]",0,"[0, 1]",0,0,undefined,1,,There is a star.,1,filler,10,True
exh-only,True,There are four ticks.,True,There are four circles.,1,,3437,,,"[0, 1]","[0, 0, 0]",1020,0,"[2, 8, 9]","[0, 0, 0]","[8, 6, 9]",,9.172316666666667,"[7, 0, 3]",0,"[1, 0]",1,1,undefined,0,,There are four notes.,0,response,10,True
exh-only,False,There are four circles.,False,7 + 6 = ?,1,,4112,,,"[0, 1]","[9, 0, 0]",2287,1,"[7, 3, 0]","[1, 0, 0]","[2, 2, 0]",,9.172316666666667,"[13, 7, 6]",3,"[0, 1]",0,1,undefined,1,,2 + 0 = ?,0,response,10,True
exh-only,True,Some of the symbols are stars.,True,Some of the symbols are stars.,0,,5312,,,"[0, 1]","[0, 0, 0]",1588,0,"[6, 3, 4]","[0, 0, 0]","[2, 4, 6]",,9.172316666666667,"[6, 2, 8]",1,"[1, 0]",1,1,undefined,0,,Some of the symbols are ticks.,1,filler,10,True
exh-only,True,There are four clubs.,True,There are four spades.,1,,5048,,,"[1, 0]","[0, 0, 0]",2378,0,"[1, 3, 2]","[0, 0, 0]","[4, 2, 6]",,9.172316666666667,"[3, 9, 6]",1,"[1, 0]",0,0,undefined,0,,There are four hearts.,1,response,10,True
exh-only,True,Some of the symbols are ticks.,True,Some of the symbols are triangles.,0,,3971,,,"[0, 1]","[0, 0, 0]",1288,0,"[2, 5, 0]","[0, 0, 0]","[2, 9, 7]",,9.172316666666667,"[9, 8, 3]",1,"[1, 0]",1,1,undefined,0,,Some of the symbols are ticks.,1,response,10,True
exh-only,True,There are four diamonds.,True,There are four spades.,1,,3784,,,"[0, 1]","[0, 0, 0]",1461,0,"[0, 4, 3]","[0, 0, 0]","[7, 8, 9]",,9.172316666666667,"[3, 8, 2]",1,"[1, 0]",1,1,undefined,0,,There are four circles.,1,filler,10,True
exh-only,True,There are four notes.,True,There are four circles.,1,,3864,,,"[1, 0]","[0, 0, 0]",1672,1,"[8, 2, 4]","[0, 0, 0]","[5, 4, 7]",,9.172316666666667,"[7, 5, 8]",0,"[0, 1]",0,0,undefined,1,,There are four squares.,0,response,10,True
exh-only,False,Some of the symbols are diamonds.,False,3 + 8 = ?,0,,4269,,,"[1, 0]","[5, 0, 0]",2105,0,"[0, 7, 3]","[3, 0, 0]","[10, 1, 9]",,9.172316666666667,"[11, 3, 8]",3,"[1, 0]",1,0,undefined,0,,1 + 9 = ?,0,response,10,True
exh-only,False,There is a circle.,False,There is a circle.,2,,8624,,,"[0, 1]","[0, 0, 0]",1794,1,"[7, 2, 4]","[0, 0, 0]","[3, 7, 1]",,9.172316666666667,"[7, 3, 2]",1,"[1, 0]",0,1,undefined,0,,There is a spade.,0,response,10,False
exh-only,True,There are four diamonds.,True,There are only four circles.,1,,3423,,,"[0, 1]","[0, 0, 0]",1102,1,"[0, 3, 8]","[0, 0, 0]","[9, 4, 7]",,9.172316666666667,"[7, 9, 3]",2,"[0, 1]",1,1,undefined,1,,There are only four triangles.,1,filler,10,True
exh-only,False,There is a square.,False,There is a note.,2,,4795,,,"[0, 1]","[0, 0, 0]",1808,0,"[5, 1, 7]","[0, 0, 0]","[7, 5, 3]",,9.172316666666667,"[8, 1, 5]",1,"[1, 0]",0,1,undefined,0,,There is a circle.,1,filler,10,True
exh-only,False,Some of the symbols are stars.,False,8 + 6 = ?,0,,3233,,,"[1, 0]","[4, 0, 0]",1416,0,"[6, 7, 4]","[6, 0, 0]","[10, 3, 7]",,9.172316666666667,"[14, 8, 6]",3,"[0, 1]",1,0,undefined,1,,3 + 7 = ?,1,filler,10,False
exh-only,True,Some of the symbols are circles.,True,Only some of the symbols are circles.,0,,5121,,,"[0, 1]","[0, 0, 0]",1593,1,"[7, 0, 6]","[0, 0, 0]","[1, 6, 8]",,9.172316666666667,"[7, 0, 4]",2,"[0, 1]",1,1,undefined,1,,Only some of the symbols are clubs.,1,filler,10,True
exh-only,False,There is a tick.,False,There is a club.,2,,3914,,,"[1, 0]","[0, 0, 0]",1307,0,"[2, 4, 3]","[0, 0, 0]","[7, 1, 8]",,9.172316666666667,"[1, 0, 2]",1,"[0, 1]",1,0,undefined,1,,There is a circle.,1,filler,10,False
exh-only,True,There are four spades.,True,There are four squares.,1,,3736,,,"[1, 0]","[0, 0, 0]",972,0,"[3, 4, 2]","[0, 0, 0]","[1, 5, 6]",,9.172316666666667,"[5, 8, 1]",1,"[1, 0]",0,0,undefined,0,,There are four clubs.,1,filler,10,True
exh-only,False,There is a square.,True,0 + 5 = ?,2,,3337,,,"[1, 0]","[8, 0, 0]",1521,1,"[5, 8, 9]","[8, 0, 0]","[6, 6, 0]",,9.172316666666667,"[5, 0, 5]",3,"[1, 0]",0,0,undefined,0,,6 + 0 = ?,0,response,10,False
exh-only,True,Some of the symbols are notes.,True,Some of the symbols are ticks.,0,,3845,,,"[1, 0]","[0, 0, 0]",1134,1,"[8, 6, 1]","[0, 0, 0]","[1, 8, 3]",,9.172316666666667,"[2, 5, 0]",0,"[0, 1]",0,0,undefined,1,,Some of the symbols are clubs.,1,filler,10,True
exh-only,True,There are four notes.,True,There are four squares.,1,,3251,,,"[1, 0]","[0, 0, 0]",1181,0,"[8, 4, 5]","[0, 0, 0]","[2, 9, 8]",,9.172316666666667,"[5, 4, 7]",1,"[1, 0]",0,0,undefined,0,,There are four ticks.,1,filler,10,True
exh-only,True,There is a club.,True,There is only a spade.,2,,4820,,,"[0, 1]","[0, 0, 0]",1872,0,"[1, 2, 4]","[0, 0, 0]","[2, 6, 1]",,9.172316666666667,"[3, 8, 0]",2,"[1, 0]",1,1,undefined,0,,There is only a tick.,1,filler,10,True
exh-only,False,There are four diamonds.,False,4 + 4 = ?,1,,4033,,,"[0, 1]","[3, 0, 0]",1575,1,"[0, 5, 6]","[7, 0, 0]","[11, 9, 2]",,9.172316666666667,"[8, 4, 4]",3,"[1, 0]",0,1,undefined,0,,9 + 2 = ?,0,response,10,False
exh-only,True,There is a tick.,True,There is a tick.,2,,3861,,,"[1, 0]","[0, 0, 0]",1451,1,"[2, 0, 8]","[0, 0, 0]","[2, 7, 5]",,9.172316666666667,"[2, 5, 9]",0,"[0, 1]",0,0,undefined,1,,There is a tick.,1,filler,10,True
exh-only,True,There is a star.,True,There is only a heart.,2,,4670,,,"[0, 1]","[0, 0, 0]",1605,1,"[6, 0, 5]","[0, 0, 0]","[9, 6, 3]",,9.172316666666667,"[4, 7, 3]",2,"[0, 1]",1,1,undefined,1,,There is only a triangle.,0,response,10,True
exh-only,True,There are four notes.,True,There are only four circles.,1,,3596,,,"[0, 1]","[0, 0, 0]",1567,1,"[8, 3, 4]","[0, 0, 0]","[8, 0, 4]",,9.172316666666667,"[7, 2, 0]",2,"[0, 1]",1,1,undefined,1,,There are only four notes.,0,response,10,True
exh-only,True,There is a tick.,True,There is only a triangle.,2,,3654,,,"[0, 1]","[0, 0, 0]",1268,1,"[2, 9, 3]","[0, 0, 0]","[9, 6, 7]",,9.172316666666667,"[9, 3, 5]",2,"[0, 1]",1,1,undefined,1,,There is only a triangle.,0,response,10,True
exh-only,True,Some of the symbols are hearts.,True,Some of the symbols are circles.,0,,6313,,,"[1, 0]","[0, 0, 0]",2615,1,"[4, 9, 8]","[0, 0, 0]","[4, 2, 1]",,9.172316666666667,"[7, 9, 2]",1,"[0, 1]",0,0,undefined,1,,Some of the symbols are hearts.,0,response,10,True
exh-only,False,There is a spade.,False,8 + 0 = ?,2,,4358,,,"[1, 0]","[7, 0, 0]",1666,0,"[3, 9, 1]","[6, 0, 0]","[6, 2, 4]",,9.172316666666667,"[8, 8, 0]",3,"[1, 0]",1,0,undefined,0,,2 + 4 = ?,0,response,10,True
