image,primeOShuffle,btwncondition,audio,goodPTChoice,pOwrongAnswer,responseChoice,correctPTChoice,primeTShuffle,pTChoice,correctPChoices,Answer.condition,response_rt,pOChoice,Answer.time_in_minutes,pTSymbols,goodPOChoice,pOSentence,responseSentence,primeStrength,pTwrongAnswer,slide_number,correctPOChoice,trial_type,slide_type,response,primeType,pOSymbols,workerid,responseSymbols,block_rt,pTSentence
,"[1, 0]",exh-only,,1,"[5, 0, 0]",1,True,"[0, 1]",1,False,undefined,1487,1,7.87365,"[3, 0, 3]",0,5 + 2 = ?,Some of the symbols are circles.,3,"[3, 0, 0]",,False,filler,,,0,"[7, 5, 2]",2,"[7, 5, 6]",5065,0 + 3 = ?
Patricia,,,,,,,,,,,undefined,,,19.97655,,,,,,,1,,,bot_check,"[0, 'Patricia']",,,3,,,
,"[0, 1]",exh-only,,0,"[9, 0, 0]",1,False,"[1, 0]",1,False,undefined,5463,0,19.97655,"[12, 6, 6]",1,9 + 3 = ?,Some of the symbols are spades.,3,"[8, 0, 0]",,False,filler,,,0,"[12, 9, 3]",3,"[3, 1, 9]",14439,6 + 6 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,6279,0,19.97655,"[6, 9, 5]",0,There are four spades.,There are four ticks.,0,"[0, 0, 0]",,True,response,,,1,"[3, 2, 8]",3,"[2, 1, 6]",17752,There are four stars.
,"[1, 0]",exh-only,,0,"[1, 0, 0]",1,True,"[1, 0]",0,False,undefined,6848,1,19.97655,"[5, 1, 4]",0,7 + 1 = ?,Some of the symbols are hearts.,3,"[4, 0, 0]",,False,response,,,0,"[8, 7, 1]",3,"[4, 8, 2]",13176,1 + 4 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2975,0,19.97655,"[3, 5, 6]",0,There are four hearts.,There are four spades.,0,"[0, 0, 0]",,True,filler,,,1,"[4, 0, 6]",3,"[3, 4, 9]",9056,There are four spades.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3401,1,19.97655,"[4, 3, 8]",1,There is a heart.,There is a circle.,0,"[0, 0, 0]",,True,filler,,,2,"[4, 3, 8]",3,"[7, 9, 3]",12496,There is a heart.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2880,0,19.97655,"[7, 8, 4]",0,There are four ticks.,There are four stars.,0,"[0, 0, 0]",,True,filler,,,1,"[2, 8, 9]",3,"[6, 7, 3]",9343,There are four circles.
,"[1, 0]",exh-only,,1,"[3, 0, 0]",0,False,"[0, 1]",0,False,undefined,3319,1,19.97655,"[8, 2, 6]",0,9 + 3 = ?,There is a circle.,3,"[1, 0, 0]",,False,response,,,2,"[12, 9, 3]",3,"[7, 3, 9]",9608,2 + 6 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,3776,1,19.97655,"[2, 8, 6]",1,There is only a tick.,There is a club.,2,"[0, 0, 0]",,True,filler,,,2,"[2, 8, 9]",3,"[1, 3, 2]",11681,There is only a tick.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3871,1,19.97655,"[4, 2, 1]",1,Only some of the symbols are hearts.,Some of the symbols are ticks.,2,"[0, 0, 0]",,True,filler,,,0,"[4, 7, 2]",3,"[2, 8, 6]",17815,Only some of the symbols are hearts.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3711,0,19.97655,"[4, 7, 3]",0,There is a star.,There is a diamond.,0,"[0, 0, 0]",,True,filler,,,2,"[6, 3, 1]",3,"[0, 5, 2]",14169,There is a heart.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,3215,0,19.97655,"[2, 6, 1]",0,There is a star.,There is a circle.,0,"[0, 0, 0]",,True,filler,,,2,"[6, 9, 4]",3,"[7, 0, 4]",10336,There is a tick.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,2912,1,19.97655,"[3, 2, 4]",1,Some of the symbols are clubs.,Some of the symbols are ticks.,0,"[0, 0, 0]",,True,response,,,0,"[1, 2, 8]",3,"[2, 4, 3]",10032,Some of the symbols are spades.
,"[1, 0]",exh-only,,1,"[8, 0, 0]",1,False,"[0, 1]",0,False,undefined,2895,1,19.97655,"[4, 0, 4]",0,3 + 6 = ?,There are four notes.,3,"[3, 0, 0]",,False,filler,,,1,"[9, 3, 6]",3,"[8, 0, 5]",8976,0 + 4 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3031,1,19.97655,"[0, 6, 1]",1,Some of the symbols are stars.,Some of the symbols are clubs.,1,"[0, 0, 0]",,True,filler,,,0,"[6, 8, 3]",3,"[1, 8, 5]",11272,Some of the symbols are diamonds.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3375,0,19.97655,"[2, 6, 5]",0,Only some of the symbols are hearts.,Some of the symbols are triangles.,2,"[0, 0, 0]",,True,response,,,0,"[4, 5, 0]",3,"[9, 2, 4]",10416,Only some of the symbols are ticks.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,5783,0,19.97655,"[2, 6, 9]",0,Some of the symbols are clubs.,Some of the symbols are circles.,1,"[0, 0, 0]",,True,response,,,0,"[1, 3, 8]",3,"[7, 1, 0]",18936,Some of the symbols are ticks.
,"[1, 0]",exh-only,,0,"[4, 0, 0]",1,False,"[1, 0]",1,False,undefined,3631,0,19.97655,"[6, 1, 5]",0,5 + 6 = ?,There are four clubs.,3,"[1, 0, 0]",,True,filler,,,1,"[11, 5, 6]",3,"[1, 8, 0]",8752,1 + 5 = ?
,"[1, 0]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,3576,0,19.97655,"[5, 2, 7]",0,Some of the symbols are stars.,Some of the symbols are squares.,0,"[0, 0, 0]",,True,response,,,0,"[6, 0, 1]",3,"[5, 1, 6]",11296,Some of the symbols are squares.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,2520,1,19.97655,"[9, 5, 6]",1,There is a diamond.,There is a note.,1,"[0, 0, 0]",,True,response,,,2,"[0, 5, 2]",3,"[8, 5, 9]",8384,There is a triangle.
,"[0, 1]",exh-only,,0,"[4, 0, 0]",1,False,"[1, 0]",1,False,undefined,2784,0,19.97655,"[3, 1, 2]",1,7 + 2 = ?,Some of the symbols are diamonds.,3,"[9, 0, 0]",,False,filler,,,0,"[9, 7, 2]",3,"[0, 8, 5]",8160,1 + 2 = ?
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2560,0,19.97655,"[5, 2, 4]",0,There are four notes.,There are four triangles.,1,"[0, 0, 0]",,True,filler,,,1,"[8, 3, 9]",3,"[9, 2, 7]",7416,There are four squares.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3575,1,19.97655,"[2, 8, 9]",1,Some of the symbols are stars.,Some of the symbols are diamonds.,1,"[0, 0, 0]",,True,filler,,,0,"[6, 4, 1]",3,"[0, 5, 1]",11552,Some of the symbols are ticks.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,3176,0,19.97655,"[1, 5, 7]",0,There is only a spade.,There is a star.,2,"[0, 0, 0]",,True,response,,,2,"[3, 1, 0]",3,"[6, 8, 3]",12352,There is only a club.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3671,0,19.97655,"[2, 1, 6]",0,There are four spades.,There are four hearts.,0,"[0, 0, 0]",,True,response,,,1,"[3, 1, 0]",3,"[4, 1, 9]",9392,There are four ticks.
,"[0, 1]",exh-only,,1,"[1, 0, 0]",1,True,"[0, 1]",1,True,undefined,2527,1,19.97655,"[0, 0, 0]",1,6 + 9 = ?,There are four clubs.,3,"[0, 0, 0]",,True,filler,,,1,"[15, 6, 9]",3,"[1, 7, 0]",9048,0 + 0 = ?
,"[0, 1]",exh-only,,0,"[4, 0, 0]",0,True,"[1, 0]",0,True,undefined,5134,1,19.97655,"[9, 8, 1]",1,6 + 4 = ?,There is a note.,3,"[4, 0, 0]",,True,response,,,2,"[10, 6, 4]",3,"[8, 6, 1]",9864,8 + 1 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,12712,1,19.97655,"[9, 2, 0]",1,There are only four clubs.,There are four circles.,2,"[0, 0, 0]",,True,filler,,,1,"[1, 0, 8]",3,"[7, 2, 9]",18089,There are only four triangles.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3015,1,19.97655,"[2, 0, 9]",1,There is a spade.,There is a diamond.,0,"[0, 0, 0]",,True,filler,,,2,"[3, 1, 0]",3,"[0, 2, 1]",12639,There is a tick.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2831,1,19.97655,"[2, 7, 1]",1,Some of the symbols are squares.,Some of the symbols are spades.,1,"[0, 0, 0]",,True,filler,,,0,"[5, 0, 8]",3,"[3, 8, 9]",10680,Some of the symbols are ticks.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,3167,1,19.97655,"[0, 8, 6]",1,Some of the symbols are stars.,Some of the symbols are notes.,0,"[0, 0, 0]",,True,filler,,,0,"[6, 0, 3]",3,"[8, 7, 5]",10224,Some of the symbols are diamonds.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,2607,1,19.97655,"[8, 7, 9]",1,There is a tick.,There is a heart.,0,"[0, 0, 0]",,True,response,,,2,"[2, 4, 6]",3,"[4, 7, 9]",7536,There is a note.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2991,1,19.97655,"[8, 4, 5]",1,There is a triangle.,There is a note.,1,"[0, 0, 0]",,True,filler,,,2,"[9, 1, 7]",3,"[8, 6, 7]",8128,There is a note.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,3504,1,19.97655,"[4, 2, 8]",1,There is a square.,There is a club.,0,"[0, 0, 0]",,True,response,,,2,"[5, 1, 4]",3,"[1, 7, 8]",9704,There is a heart.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2120,0,19.97655,"[9, 0, 3]",0,There are four hearts.,There are four squares.,0,"[0, 0, 0]",,True,filler,,,1,"[4, 9, 1]",3,"[5, 0, 6]",7656,There are four triangles.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,2407,1,19.97655,"[9, 6, 2]",1,There are four diamonds.,There are four ticks.,0,"[0, 0, 0]",,True,response,,,1,"[0, 2, 3]",3,"[2, 1, 6]",7800,There are four triangles.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,2576,0,19.97655,"[7, 1, 0]",0,There is a heart.,There is a spade.,0,"[0, 0, 0]",,True,response,,,2,"[4, 9, 7]",3,"[3, 7, 5]",8168,There is a circle.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2840,0,19.97655,"[8, 3, 9]",0,Some of the symbols are hearts.,Some of the symbols are spades.,1,"[0, 0, 0]",,True,filler,,,0,"[4, 5, 2]",3,"[3, 0, 5]",9384,Some of the symbols are notes.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,3640,1,19.97655,"[2, 3, 9]",1,There are four spades.,There are four stars.,0,"[0, 0, 0]",,True,response,,,1,"[3, 6, 4]",3,"[6, 0, 5]",82608,There are four ticks.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,3288,0,19.97655,"[2, 6, 8]",0,There are only four spades.,There are four squares.,2,"[0, 0, 0]",,True,response,,,1,"[3, 7, 8]",3,"[5, 7, 2]",8344,There are only four ticks.
,"[0, 1]",exh-only,,1,"[6, 0, 0]",0,True,"[0, 1]",1,False,undefined,2368,0,19.97655,"[10, 7, 3]",1,0 + 3 = ?,There are four hearts.,3,"[9, 0, 0]",,False,response,,,1,"[3, 0, 3]",3,"[4, 9, 8]",7176,7 + 3 = ?
,"[1, 0]",exh-only,,1,"[9, 0, 0]",1,True,"[0, 1]",1,True,undefined,3792,0,19.97655,"[10, 3, 7]",0,2 + 0 = ?,Some of the symbols are stars.,3,"[7, 0, 0]",,True,response,,,0,"[2, 2, 0]",3,"[6, 7, 9]",8200,3 + 7 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,3848,0,19.97655,"[8, 5, 0]",0,Only some of the symbols are triangles.,Some of the symbols are notes.,2,"[0, 0, 0]",,True,filler,,,0,"[9, 2, 0]",3,"[8, 2, 4]",12656,Only some of the symbols are notes.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3176,0,19.97655,"[8, 6, 2]",0,There are four spades.,There are four diamonds.,1,"[0, 0, 0]",,True,response,,,1,"[3, 5, 1]",3,"[0, 5, 9]",10184,There are four notes.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2150,0,19.97655,"[5, 0, 3]",0,There are four stars.,There are four squares.,1,"[0, 0, 0]",,True,filler,,,1,"[6, 1, 3]",3,"[5, 8, 3]",7032,There are four squares.
,"[1, 0]",exh-only,,0,"[1, 0, 0]",1,False,"[1, 0]",1,False,undefined,3367,1,19.97655,"[15, 6, 9]",0,1 + 0 = ?,There is a tick.,3,"[6, 0, 0]",,False,filler,,,2,"[1, 1, 0]",3,"[2, 3, 8]",9072,6 + 9 = ?
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2671,0,19.97655,"[2, 0, 4]",0,There are only four clubs.,There are four hearts.,2,"[0, 0, 0]",,True,filler,,,1,"[1, 3, 9]",3,"[4, 5, 1]",7776,There are only four ticks.
,"[1, 0]",exh-only,,0,"[1, 0, 0]",1,False,"[1, 0]",1,False,undefined,2255,0,19.97655,"[9, 6, 3]",0,7 + 4 = ?,There are four spades.,3,"[3, 0, 0]",,True,filler,,,1,"[11, 7, 4]",3,"[3, 1, 9]",6272,6 + 3 = ?
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,False,undefined,2583,1,19.97655,"[6, 6, 0]",0,5 + 1 = ?,There is a note.,3,"[9, 0, 0]",,False,filler,,,2,"[6, 5, 1]",3,"[8, 9, 4]",6616,6 + 0 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3008,1,19.97655,"[2, 6, 3]",1,There are only four spades.,There are four circles.,2,"[0, 0, 0]",,True,response,,,1,"[3, 9, 0]",3,"[7, 6, 0]",7881,There are only four ticks.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2551,1,19.97655,"[6, 7, 8]",1,There are only four triangles.,There are four spades.,2,"[0, 0, 0]",,True,filler,,,1,"[9, 2, 3]",3,"[3, 8, 6]",8807,There are only four stars.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,3000,0,19.97655,"[8, 4, 9]",0,Some of the symbols are squares.,Some of the symbols are triangles.,1,"[0, 0, 0]",,True,response,,,0,"[5, 9, 8]",3,"[9, 6, 7]",11568,Some of the symbols are notes.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2568,0,19.97655,"[6, 1, 9]",0,There are only four squares.,There are four diamonds.,2,"[0, 0, 0]",,True,filler,,,1,"[5, 4, 1]",3,"[0, 5, 9]",8127,There are only four stars.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2520,1,19.97655,"[3, 6, 9]",1,There are four ticks.,There are four spades.,0,"[0, 0, 0]",,True,filler,,,1,"[2, 7, 9]",3,"[3, 8, 9]",8967,There are four spades.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,3231,0,19.97655,"[5, 0, 9]",0,There is a tick.,There is a tick.,1,"[0, 0, 0]",,True,filler,,,2,"[2, 9, 3]",3,"[2, 0, 7]",7344,There is a square.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3432,0,19.97655,"[5, 9, 4]",0,Only some of the symbols are squares.,Some of the symbols are circles.,2,"[0, 0, 0]",,True,response,,,0,"[5, 7, 4]",3,"[7, 5, 1]",18504,Only some of the symbols are squares.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2759,0,19.97655,"[3, 5, 8]",0,Only some of the symbols are circles.,Some of the symbols are triangles.,2,"[0, 0, 0]",,True,response,,,0,"[7, 3, 2]",3,"[9, 7, 1]",11992,Only some of the symbols are spades.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,6408,0,19.97655,"[8, 7, 1]",0,Some of the symbols are squares.,Some of the symbols are hearts.,1,"[0, 0, 0]",,True,response,,,0,"[5, 2, 4]",3,"[4, 5, 0]",45801,Some of the symbols are notes.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,5567,0,19.97655,"[7, 6, 9]",0,Some of the symbols are hearts.,Some of the symbols are diamonds.,0,"[0, 0, 0]",,True,filler,,,0,"[4, 0, 2]",3,"[0, 6, 7]",14256,Some of the symbols are circles.
,"[1, 0]",exh-only,,0,"[8, 0, 0]",1,True,"[1, 0]",0,False,undefined,4470,1,19.97655,"[9, 3, 6]",0,1 + 6 = ?,Some of the symbols are spades.,3,"[6, 0, 0]",,False,response,,,0,"[7, 1, 6]",3,"[3, 2, 7]",15192,3 + 6 = ?
,"[1, 0]",exh-only,,0,"[3, 0, 0]",1,False,"[1, 0]",1,False,undefined,3064,0,19.97655,"[7, 1, 6]",0,8 + 3 = ?,Some of the symbols are spades.,3,"[5, 0, 0]",,True,filler,,,0,"[11, 8, 3]",3,"[3, 6, 5]",8408,1 + 6 = ?
,"[0, 1]",exh-only,,1,"[7, 0, 0]",1,True,"[0, 1]",1,False,undefined,2567,0,19.97655,"[9, 1, 8]",1,5 + 8 = ?,There are four stars.,3,"[0, 0, 0]",,False,response,,,1,"[13, 5, 8]",3,"[6, 5, 7]",8168,1 + 8 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2903,0,19.97655,"[5, 6, 2]",0,Some of the symbols are triangles.,Some of the symbols are ticks.,0,"[0, 0, 0]",,True,response,,,0,"[9, 4, 2]",3,"[2, 5, 6]",12192,Some of the symbols are squares.
,"[0, 1]",exh-only,,1,"[8, 0, 0]",1,True,"[0, 1]",1,False,undefined,2512,0,19.97655,"[6, 4, 2]",1,3 + 4 = ?,There are four notes.,3,"[0, 0, 0]",,False,response,,,1,"[7, 3, 4]",3,"[8, 1, 4]",7544,4 + 2 = ?
,"[0, 1]",exh-only,,1,"[5, 0, 0]",1,False,"[0, 1]",0,False,undefined,2663,1,19.97655,"[12, 4, 8]",1,2 + 5 = ?,Some of the symbols are clubs.,3,"[5, 0, 0]",,True,filler,,,0,"[7, 2, 5]",3,"[1, 7, 6]",7248,4 + 8 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,2472,0,19.97655,"[2, 7, 0]",0,Some of the symbols are spades.,Some of the symbols are circles.,0,"[0, 0, 0]",,True,response,,,0,"[3, 0, 4]",3,"[7, 1, 2]",8408,Some of the symbols are ticks.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2759,1,19.97655,"[4, 5, 8]",1,Some of the symbols are notes.,Some of the symbols are hearts.,1,"[0, 0, 0]",,True,response,,,0,"[8, 1, 3]",3,"[4, 2, 1]",7976,Some of the symbols are hearts.
,"[0, 1]",exh-only,,1,"[5, 0, 0]",1,False,"[0, 1]",0,False,undefined,4663,1,19.97655,"[4, 2, 2]",1,3 + 3 = ?,Some of the symbols are clubs.,3,"[3, 0, 0]",,True,response,,,0,"[6, 3, 3]",3,"[1, 5, 0]",9272,2 + 2 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2479,1,19.97655,"[4, 9, 5]",1,There are only four diamonds.,There are four spades.,2,"[0, 0, 0]",,True,response,,,1,"[0, 7, 9]",3,"[3, 1, 4]",7464,There are only four hearts.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2903,1,19.97655,"[4, 1, 5]",1,There is a star.,There is a circle.,1,"[0, 0, 0]",,True,response,,,2,"[6, 9, 5]",3,"[7, 6, 3]",7920,There is a heart.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2471,1,19.97655,"[0, 2, 4]",1,Only some of the symbols are ticks.,Some of the symbols are spades.,2,"[0, 0, 0]",,True,response,,,0,"[2, 6, 3]",3,"[3, 7, 2]",8631,Only some of the symbols are diamonds.
,"[0, 1]",exh-only,,1,"[9, 0, 0]",0,False,"[0, 1]",0,False,undefined,4103,1,19.97655,"[5, 2, 3]",1,7 + 8 = ?,There is a circle.,3,"[6, 0, 0]",,True,response,,,2,"[15, 7, 8]",3,"[7, 3, 9]",9560,2 + 3 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2976,1,19.97655,"[7, 6, 9]",1,Some of the symbols are diamonds.,Some of the symbols are ticks.,0,"[0, 0, 0]",,True,filler,,,0,"[0, 2, 3]",3,"[2, 3, 9]",8512,Some of the symbols are circles.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,3680,1,19.97655,"[1, 2, 4]",1,There is only a heart.,There is a club.,2,"[0, 0, 0]",,True,response,,,2,"[4, 7, 1]",3,"[1, 5, 0]",8328,There is only a club.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,3552,1,19.97655,"[4, 0, 5]",1,There is only a diamond.,There is a star.,2,"[0, 0, 0]",,True,response,,,2,"[0, 7, 3]",3,"[6, 3, 0]",8305,There is only a heart.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2080,0,19.97655,"[3, 1, 8]",0,There is only a club.,There is a tick.,2,"[0, 0, 0]",,True,filler,,,2,"[1, 8, 7]",3,"[2, 7, 1]",7039,There is only a spade.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,2000,1,19.97655,"[1, 8, 2]",1,There is a star.,There is a diamond.,0,"[0, 0, 0]",,True,response,,,2,"[6, 5, 0]",3,"[0, 8, 1]",9160,There is a club.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,2415,0,19.97655,"[2, 5, 1]",0,There is a star.,There is a heart.,1,"[0, 0, 0]",,True,response,,,2,"[6, 0, 7]",3,"[4, 0, 6]",9152,There is a tick.
,"[0, 1]",exh-only,,1,"[6, 0, 0]",0,True,"[0, 1]",1,True,undefined,2519,1,19.97655,"[3, 3, 0]",1,1 + 6 = ?,There is a circle.,3,"[4, 0, 0]",,True,response,,,2,"[7, 1, 6]",3,"[7, 9, 6]",6568,3 + 0 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,False,"[0, 1]",0,False,undefined,3455,1,19.97655,"[12, 5, 7]",1,8 + 3 = ?,There is a star.,3,"[7, 0, 0]",,True,filler,,,2,"[11, 8, 3]",3,"[6, 0, 8]",8656,5 + 7 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,3288,0,19.97655,"[3, 2, 4]",0,There is only a triangle.,There is a square.,2,"[0, 0, 0]",,True,response,,,2,"[9, 0, 6]",3,"[5, 2, 6]",7552,There is only a spade.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3216,0,19.97655,"[7, 3, 6]",0,There are only four circles.,There are four notes.,2,"[0, 0, 0]",,True,response,,,1,"[7, 4, 0]",3,"[8, 9, 7]",9664,There are only four circles.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2935,1,19.97655,"[7, 6, 1]",1,There is a diamond.,There is a spade.,1,"[0, 0, 0]",,True,filler,,,2,"[0, 2, 9]",3,"[3, 7, 8]",7304,There is a circle.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,14959,1,19.97655,"[1, 4, 5]",1,Only some of the symbols are circles.,Some of the symbols are clubs.,2,"[0, 0, 0]",,True,filler,,,0,"[7, 2, 4]",3,"[1, 0, 9]",28056,Only some of the symbols are clubs.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,2456,0,19.97655,"[7, 5, 1]",0,There are four ticks.,There are four circles.,1,"[0, 0, 0]",,True,response,,,1,"[2, 0, 3]",3,"[7, 0, 6]",7152,There are four circles.
,"[0, 1]",exh-only,,0,"[5, 0, 0]",1,True,"[1, 0]",0,True,undefined,2080,1,19.97655,"[16, 8, 8]",1,6 + 1 = ?,There are four hearts.,3,"[8, 0, 0]",,True,response,,,1,"[7, 6, 1]",3,"[4, 3, 0]",7208,8 + 8 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,2688,1,19.97655,"[6, 5, 0]",1,There are four hearts.,There are four spades.,1,"[0, 0, 0]",,True,response,,,1,"[4, 0, 5]",3,"[3, 0, 1]",6856,There are four stars.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,3959,1,19.97655,"[5, 6, 0]",1,There is a tick.,There is a triangle.,1,"[0, 0, 0]",,True,filler,,,2,"[2, 6, 1]",3,"[9, 0, 6]",9088,There is a square.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,3104,0,19.97655,"[0, 5, 7]",0,There are four squares.,There are four diamonds.,1,"[0, 0, 0]",,True,response,,,1,"[5, 9, 1]",3,"[0, 8, 3]",7793,There are four diamonds.
,"[0, 1]",exh-only,,1,"[6, 0, 0]",1,False,"[0, 1]",0,False,undefined,2968,1,19.97655,"[9, 9, 0]",1,1 + 5 = ?,There is a diamond.,3,"[6, 0, 0]",,True,filler,,,2,"[6, 1, 5]",3,"[0, 4, 9]",13911,9 + 0 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,2080,1,19.97655,"[5, 6, 9]",1,There is a heart.,There is a note.,1,"[0, 0, 0]",,True,response,,,2,"[4, 3, 6]",3,"[8, 6, 4]",7704,There is a square.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,5711,1,19.97655,"[8, 9, 6]",1,Some of the symbols are triangles.,Some of the symbols are clubs.,0,"[0, 0, 0]",,True,filler,,,0,"[9, 5, 7]",3,"[1, 3, 6]",10696,Some of the symbols are notes.
