primeStrength,primeTShuffle,correctPTChoice,responseSentence,pTSentence,pOSymbols,goodPTChoice,Answer.time_in_minutes,correctPChoices,response_rt,pTwrongAnswer,pOChoice,audio,correctPOChoice,pOSentence,primeOShuffle,response,pTChoice,block_rt,slide_number,workerid,responseChoice,image,Answer.condition,pTSymbols,goodPOChoice,responseSymbols,pOwrongAnswer,primeType,trial_type,btwncondition,slide_type
2,"[1, 0]",True,There is a spade.,There is a note and a square.,"[5, 0, 3]",0,20.944233333333333,True,5427,"[0, 0, 0]",1,,True,There is a square and a diamond.,"[0, 1]",,0,12803,,11,0,,undefined,"[8, 5, 1]",1,"[3, 2, 1]","[0, 0, 0]",2,filler,alternative,
0,"[1, 0]",True,Some of the symbols are diamonds.,Some of the symbols are ticks.,"[1, 4, 9]",0,20.944233333333333,True,5390,"[0, 0, 0]",0,,True,Some of the symbols are clubs.,"[1, 0]",,0,13136,,11,1,,undefined,"[2, 0, 8]",0,"[0, 3, 7]","[0, 0, 0]",0,filler,alternative,
3,"[1, 0]",False,There are four clubs.,9 + 3 = ?,"[5, 0, 5]",0,20.944233333333333,False,12793,"[5, 0, 0]",0,,True,0 + 5 = ?,"[1, 0]",,1,26803,,11,1,,undefined,"[12, 9, 3]",0,"[1, 4, 5]","[8, 0, 0]",1,response,alternative,
0,"[1, 0]",True,Some of the symbols are notes.,Some of the symbols are hearts.,"[9, 5, 1]",0,20.944233333333333,True,9221,"[0, 0, 0]",1,,True,Some of the symbols are triangles.,"[0, 1]",,0,23147,,11,1,,undefined,"[4, 1, 0]",1,"[8, 3, 9]","[0, 0, 0]",0,filler,alternative,
0,"[0, 1]",True,There is a club.,There is a spade.,"[8, 4, 0]",1,20.944233333333333,True,6233,"[0, 0, 0]",0,,True,There is a note.,"[1, 0]",,1,11618,,11,1,,undefined,"[3, 8, 6]",0,"[1, 9, 8]","[0, 0, 0]",2,filler,alternative,
3,"[0, 1]",False,There is a triangle.,8 + 5 = ?,"[16, 9, 7]",1,20.944233333333333,False,2363,"[5, 0, 0]",1,,False,9 + 7 = ?,"[1, 0]",,0,8008,,11,0,,undefined,"[13, 8, 5]",0,"[9, 3, 1]","[9, 0, 0]",2,response,alternative,
2,"[0, 1]",True,There is a triangle.,There is a club and a heart.,"[1, 3, 0]",1,20.944233333333333,True,2828,"[0, 0, 0]",1,,True,There is a club and a spade.,"[0, 1]",,1,7752,,11,0,,undefined,"[1, 4, 9]",1,"[9, 5, 0]","[0, 0, 0]",2,response,alternative,
2,"[0, 1]",True,Some of the symbols are spades.,All of the symbols are hearts.,"[3, 9, 6]",1,20.944233333333333,True,3497,"[0, 0, 0]",1,,True,All of the symbols are spades.,"[0, 1]",,1,9429,,11,0,,undefined,"[4, 6, 1]",1,"[3, 7, 9]","[0, 0, 0]",0,response,alternative,
3,"[0, 1]",True,Some of the symbols are hearts.,1 + 7 = ?,"[13, 9, 4]",1,20.944233333333333,False,2097,"[4, 0, 0]",0,,False,9 + 4 = ?,"[0, 1]",,1,7036,,11,1,,undefined,"[8, 1, 7]",1,"[4, 5, 6]","[8, 0, 0]",0,filler,alternative,
2,"[0, 1]",True,Some of the symbols are circles.,All of the symbols are diamonds.,"[0, 7, 5]",1,20.944233333333333,True,4449,"[0, 0, 0]",0,,True,All of the symbols are diamonds.,"[1, 0]",,1,8922,,11,1,,undefined,"[0, 2, 1]",0,"[7, 5, 4]","[0, 0, 0]",0,response,alternative,
3,"[1, 0]",False,There is a heart.,2 + 5 = ?,"[7, 1, 6]",0,20.944233333333333,False,3194,"[5, 0, 0]",0,,False,1 + 6 = ?,"[0, 1]",,1,7778,,11,1,,undefined,"[7, 2, 5]",1,"[4, 6, 8]","[4, 0, 0]",2,filler,alternative,
2,"[0, 1]",True,There are four notes.,There are six diamonds.,"[6, 7, 2]",1,20.944233333333333,True,2458,"[0, 0, 0]",0,,True,There are six stars.,"[1, 0]",,1,6791,,11,1,,undefined,"[0, 5, 3]",0,"[8, 4, 5]","[0, 0, 0]",1,filler,alternative,
2,"[0, 1]",True,There is a diamond.,There is a triangle and a tick.,"[5, 4, 8]",1,20.944233333333333,True,3969,"[0, 0, 0]",0,,True,There is a square and a heart.,"[1, 0]",,1,7907,,11,0,,undefined,"[9, 2, 8]",0,"[0, 7, 9]","[0, 0, 0]",2,response,alternative,
2,"[1, 0]",True,Some of the symbols are clubs.,All of the symbols are hearts.,"[1, 0, 2]",0,20.944233333333333,True,4880,"[0, 0, 0]",1,,True,All of the symbols are clubs.,"[0, 1]",,0,11449,,11,1,,undefined,"[4, 7, 1]",1,"[1, 3, 2]","[0, 0, 0]",0,response,alternative,
3,"[0, 1]",True,Some of the symbols are diamonds.,7 + 7 = ?,"[5, 0, 5]",1,20.944233333333333,False,2987,"[4, 0, 0]",0,,False,0 + 5 = ?,"[0, 1]",,1,10288,,11,1,,undefined,"[14, 7, 7]",1,"[0, 2, 6]","[6, 0, 0]",0,response,alternative,
3,"[1, 0]",True,There is a spade.,6 + 3 = ?,"[11, 2, 9]",0,20.944233333333333,True,2659,"[4, 0, 0]",1,,True,2 + 9 = ?,"[0, 1]",,0,10582,,11,0,,undefined,"[9, 6, 3]",1,"[3, 4, 0]","[3, 0, 0]",2,response,alternative,
3,"[0, 1]",False,Some of the symbols are ticks.,0 + 7 = ?,"[2, 1, 1]",1,20.944233333333333,False,4642,"[5, 0, 0]",1,,True,1 + 1 = ?,"[0, 1]",,0,8754,,11,1,,undefined,"[7, 0, 7]",1,"[2, 8, 4]","[7, 0, 0]",0,response,alternative,
1,"[0, 1]",True,There are four diamonds.,There are four clubs.,"[9, 0, 1]",1,20.944233333333333,True,2254,"[0, 0, 0]",1,,True,There are four triangles.,"[0, 1]",,1,6189,,11,1,,undefined,"[1, 2, 4]",1,"[0, 8, 4]","[0, 0, 0]",1,response,alternative,
2,"[0, 1]",True,Some of the symbols are hearts.,All of the symbols are squares.,"[8, 7, 4]",1,20.944233333333333,True,2823,"[0, 0, 0]",0,,True,All of the symbols are notes.,"[1, 0]",,1,10159,,11,1,,undefined,"[5, 0, 2]",0,"[4, 8, 6]","[0, 0, 0]",0,filler,alternative,
2,"[0, 1]",True,Some of the symbols are spades.,All of the symbols are ticks.,"[4, 3, 6]",1,20.944233333333333,True,2753,"[0, 0, 0]",0,,True,All of the symbols are hearts.,"[1, 0]",,1,6942,,11,1,,undefined,"[2, 7, 9]",0,"[3, 4, 0]","[0, 0, 0]",0,filler,alternative,
2,"[0, 1]",True,There are four hearts.,There are six notes.,"[3, 1, 4]",1,20.944233333333333,True,2139,"[0, 0, 0]",1,,True,There are six spades.,"[0, 1]",,1,6495,,11,1,,undefined,"[8, 9, 1]",1,"[4, 5, 7]","[0, 0, 0]",1,filler,alternative,
1,"[0, 1]",True,There is a diamond.,There is a circle.,"[6, 3, 1]",1,20.944233333333333,True,1804,"[0, 0, 0]",1,,True,There is a star.,"[0, 1]",,1,5586,,11,0,,undefined,"[7, 3, 4]",1,"[0, 5, 1]","[0, 0, 0]",2,response,alternative,
3,"[0, 1]",False,There are four stars.,9 + 3 = ?,"[10, 3, 7]",1,20.944233333333333,False,2017,"[8, 0, 0]",1,,True,3 + 7 = ?,"[0, 1]",,0,6267,,11,1,,undefined,"[12, 9, 3]",1,"[6, 0, 7]","[1, 0, 0]",1,filler,alternative,
0,"[1, 0]",True,There is a diamond.,There is a heart.,"[6, 1, 3]",0,20.944233333333333,True,2996,"[0, 0, 0]",1,,True,There is a star.,"[0, 1]",,0,9813,,11,0,,undefined,"[4, 7, 8]",1,"[0, 6, 4]","[0, 0, 0]",2,response,alternative,
3,"[1, 0]",True,There is a star.,5 + 8 = ?,"[11, 4, 7]",0,20.944233333333333,False,8844,"[3, 0, 0]",1,,False,4 + 7 = ?,"[1, 0]",,0,14931,,11,1,,undefined,"[13, 5, 8]",0,"[6, 9, 0]","[1, 0, 0]",2,filler,alternative,
1,"[0, 1]",True,There are four ticks.,There are four squares.,"[1, 4, 8]",1,20.944233333333333,True,5770,"[0, 0, 0]",1,,True,There are four clubs.,"[0, 1]",,1,13444,,11,1,,undefined,"[5, 6, 8]",1,"[2, 1, 4]","[0, 0, 0]",1,filler,alternative,
2,"[0, 1]",True,Some of the symbols are triangles.,All of the symbols are hearts.,"[6, 2, 1]",1,20.944233333333333,True,9028,"[0, 0, 0]",0,,True,All of the symbols are stars.,"[1, 0]",,1,20941,,11,1,,undefined,"[4, 7, 5]",0,"[9, 8, 5]","[0, 0, 0]",0,response,alternative,
2,"[1, 0]",True,Some of the symbols are ticks.,All of the symbols are ticks.,"[0, 5, 7]",0,20.944233333333333,True,3087,"[0, 0, 0]",1,,True,All of the symbols are diamonds.,"[0, 1]",,0,8551,,11,1,,undefined,"[2, 4, 9]",1,"[2, 8, 7]","[0, 0, 0]",0,filler,alternative,
3,"[1, 0]",False,There is a square.,4 + 3 = ?,"[16, 7, 9]",0,20.944233333333333,False,2289,"[3, 0, 0]",0,,True,7 + 9 = ?,"[1, 0]",,1,9389,,11,1,,undefined,"[7, 4, 3]",0,"[5, 0, 1]","[9, 0, 0]",2,filler,alternative,
3,"[0, 1]",False,Some of the symbols are spades.,8 + 8 = ?,"[8, 2, 6]",1,20.944233333333333,False,2030,"[0, 0, 0]",1,,True,2 + 6 = ?,"[0, 1]",,0,6035,,11,1,,undefined,"[16, 8, 8]",1,"[3, 2, 6]","[7, 0, 0]",0,filler,alternative,
2,"[0, 1]",True,There is a spade.,There is a circle and a note.,"[7, 1, 4]",1,20.944233333333333,True,2960,"[0, 0, 0]",0,,True,There is a circle and a club.,"[1, 0]",,1,11383,,11,1,,undefined,"[7, 8, 6]",0,"[3, 6, 0]","[0, 0, 0]",2,filler,alternative,
0,"[1, 0]",True,Some of the symbols are squares.,Some of the symbols are spades.,"[9, 0, 2]",0,20.944233333333333,True,3161,"[0, 0, 0]",0,,True,Some of the symbols are triangles.,"[1, 0]",,0,11754,,11,1,,undefined,"[3, 6, 2]",0,"[5, 2, 8]","[0, 0, 0]",0,response,alternative,
1,"[1, 0]",True,Some of the symbols are circles.,Some of the symbols are stars.,"[1, 6, 3]",0,20.944233333333333,True,2906,"[0, 0, 0]",0,,True,Some of the symbols are clubs.,"[1, 0]",,0,11200,,11,1,,undefined,"[6, 0, 9]",0,"[7, 8, 1]","[0, 0, 0]",0,response,alternative,
2,"[0, 1]",True,There is a tick.,There is a spade and a diamond.,"[1, 4, 7]",1,20.944233333333333,True,1938,"[0, 0, 0]",0,,True,There is a club and a heart.,"[1, 0]",,1,7334,,11,0,,undefined,"[3, 0, 6]",0,"[2, 4, 8]","[0, 0, 0]",2,response,alternative,
1,"[1, 0]",True,There is a circle.,There is a diamond.,"[8, 6, 2]",0,20.944233333333333,True,4849,"[0, 0, 0]",1,,True,There is a note.,"[0, 1]",,0,15581,,11,0,,undefined,"[0, 1, 6]",1,"[7, 1, 3]","[0, 0, 0]",2,response,alternative,
,,,,,,,14.625216666666667,,,,,,,,,"[0, 'Barbara']",,,1,12,,Barbara,undefined,,,,,,,,bot_check
2,"[0, 1]",True,There is a circle.,There is a note and a star.,"[1, 5, 8]",1,14.625216666666667,True,1726,"[0, 0, 0]",0,,True,There is a club and a square.,"[1, 0]",,1,13346,,12,0,,undefined,"[8, 6, 9]",0,"[7, 4, 2]","[0, 0, 0]",2,response,alternative,
2,"[1, 0]",True,There are four triangles.,There are six circles.,"[6, 3, 4]",0,14.625216666666667,True,5489,"[0, 0, 0]",1,,True,There are six stars.,"[0, 1]",,0,8621,,12,1,,undefined,"[7, 5, 6]",1,"[9, 2, 3]","[0, 0, 0]",1,filler,alternative,
0,"[1, 0]",True,There are four squares.,There are four squares.,"[6, 5, 2]",0,14.625216666666667,True,1548,"[0, 0, 0]",0,,True,There are four stars.,"[1, 0]",,0,9364,,12,1,,undefined,"[5, 9, 4]",0,"[5, 7, 9]","[0, 0, 0]",1,filler,alternative,
1,"[1, 0]",True,There is a circle.,There is a star.,"[0, 6, 5]",0,14.625216666666667,True,7786,"[0, 0, 0]",1,,True,There is a diamond.,"[0, 1]",,0,13187,,12,0,,undefined,"[6, 9, 1]",1,"[7, 1, 9]","[0, 0, 0]",2,response,alternative,
1,"[0, 1]",True,There is a diamond.,There is a square.,"[8, 7, 9]",1,14.625216666666667,True,2287,"[0, 0, 0]",1,,True,There is a note.,"[0, 1]",,1,4913,,12,1,,undefined,"[5, 1, 6]",1,"[0, 7, 8]","[0, 0, 0]",2,filler,alternative,
3,"[1, 0]",True,There are four stars.,9 + 4 = ?,"[16, 9, 7]",0,14.625216666666667,True,1272,"[2, 0, 0]",1,,True,9 + 7 = ?,"[0, 1]",,0,5960,,12,1,,undefined,"[13, 9, 4]",1,"[6, 3, 4]","[6, 0, 0]",1,filler,alternative,
0,"[0, 1]",True,There are four stars.,There are four triangles.,"[1, 9, 3]",1,14.625216666666667,True,1534,"[0, 0, 0]",1,,True,There are four clubs.,"[0, 1]",,1,4551,,12,1,,undefined,"[9, 7, 3]",1,"[6, 0, 4]","[0, 0, 0]",1,filler,alternative,
2,"[0, 1]",True,There are four clubs.,There are six clubs.,"[0, 2, 9]",1,14.625216666666667,True,1432,"[0, 0, 0]",1,,True,There are six diamonds.,"[0, 1]",,1,4357,,12,1,,undefined,"[1, 6, 8]",1,"[1, 2, 6]","[0, 0, 0]",1,filler,alternative,
2,"[1, 0]",True,Some of the symbols are diamonds.,All of the symbols are clubs.,"[9, 6, 3]",0,14.625216666666667,True,1892,"[0, 0, 0]",0,,True,All of the symbols are triangles.,"[1, 0]",,0,6425,,12,0,,undefined,"[1, 9, 8]",0,"[0, 1, 4]","[0, 0, 0]",0,response,alternative,
3,"[0, 1]",False,There are four clubs.,0 + 2 = ?,"[8, 5, 3]",1,14.625216666666667,False,3936,"[1, 0, 0]",1,,True,5 + 3 = ?,"[0, 1]",,0,8182,,12,1,,undefined,"[2, 0, 2]",1,"[1, 6, 8]","[9, 0, 0]",1,filler,alternative,
2,"[1, 0]",True,There is a star.,There is a note and a tick.,"[2, 3, 0]",0,14.625216666666667,True,2191,"[0, 0, 0]",1,,True,There is a tick and a spade.,"[0, 1]",,0,5679,,12,1,,undefined,"[8, 2, 9]",1,"[6, 5, 7]","[0, 0, 0]",2,filler,alternative,
3,"[0, 1]",False,There are four diamonds.,8 + 6 = ?,"[4, 4, 0]",1,14.625216666666667,False,1772,"[9, 0, 0]",1,,True,4 + 0 = ?,"[0, 1]",,0,6532,,12,1,,undefined,"[14, 8, 6]",1,"[0, 1, 8]","[5, 0, 0]",1,response,alternative,
1,"[1, 0]",True,Some of the symbols are circles.,Some of the symbols are ticks.,"[2, 6, 0]",0,14.625216666666667,False,3283,"[0, 0, 0]",0,,False,Some of the symbols are ticks.,"[0, 1]",,0,10616,,12,1,,undefined,"[2, 0, 1]",1,"[7, 0, 3]","[0, 0, 0]",0,response,alternative,
2,"[0, 1]",False,There are four squares.,There are six circles.,"[7, 1, 5]",1,14.625216666666667,False,4071,"[0, 0, 0]",1,,True,There are six circles.,"[0, 1]",,0,7959,,12,1,,undefined,"[7, 0, 5]",1,"[5, 3, 6]","[0, 0, 0]",1,filler,alternative,
3,"[0, 1]",False,There are four notes.,3 + 0 = ?,"[4, 1, 3]",1,14.625216666666667,False,14586,"[9, 0, 0]",1,,False,1 + 3 = ?,"[1, 0]",,0,16607,,12,0,,undefined,"[3, 3, 0]",0,"[8, 3, 7]","[8, 0, 0]",1,response,alternative,
1,"[1, 0]",True,There is a triangle.,There is a triangle.,"[9, 5, 7]",0,14.625216666666667,True,2026,"[0, 0, 0]",0,,True,There is a triangle.,"[1, 0]",,0,6029,,12,1,,undefined,"[9, 1, 3]",0,"[9, 7, 6]","[0, 0, 0]",2,filler,alternative,
1,"[1, 0]",False,Some of the symbols are clubs.,Some of the symbols are ticks.,"[5, 3, 0]",0,14.625216666666667,False,75068,"[0, 0, 0]",0,,True,Some of the symbols are squares.,"[1, 0]",,1,78168,,12,1,,undefined,"[2, 6, 7]",0,"[1, 6, 3]","[0, 0, 0]",0,filler,alternative,
3,"[1, 0]",True,There is a circle.,7 + 8 = ?,"[4, 1, 3]",0,14.625216666666667,False,1516,"[2, 0, 0]",1,,False,1 + 3 = ?,"[1, 0]",,0,6708,,12,1,,undefined,"[15, 7, 8]",0,"[7, 6, 3]","[9, 0, 0]",2,filler,alternative,
1,"[0, 1]",True,There are four triangles.,There are four squares.,"[9, 8, 4]",1,14.625216666666667,True,1928,"[0, 0, 0]",0,,True,There are four triangles.,"[1, 0]",,1,5584,,12,1,,undefined,"[5, 8, 6]",0,"[9, 4, 6]","[0, 0, 0]",1,filler,alternative,
1,"[0, 1]",True,There is a spade.,There is a tick.,"[9, 7, 2]",1,14.625216666666667,True,1703,"[0, 0, 0]",0,,True,There is a triangle.,"[1, 0]",,1,3615,,12,1,,undefined,"[2, 4, 6]",0,"[3, 6, 0]","[0, 0, 0]",2,response,alternative,
1,"[0, 1]",True,Some of the symbols are circles.,Some of the symbols are clubs.,"[9, 3, 8]",1,14.625216666666667,False,1401,"[0, 0, 0]",0,,False,Some of the symbols are triangles.,"[0, 1]",,1,8984,,12,1,,undefined,"[1, 5, 4]",1,"[7, 1, 5]","[0, 0, 0]",0,response,alternative,
1,"[0, 1]",True,There are four spades.,There are four diamonds.,"[1, 6, 8]",1,14.625216666666667,True,2230,"[0, 0, 0]",1,,True,There are four clubs.,"[0, 1]",,1,5460,,12,1,,undefined,"[0, 7, 8]",1,"[3, 5, 8]","[0, 0, 0]",1,response,alternative,
3,"[1, 0]",False,Some of the symbols are notes.,9 + 4 = ?,"[10, 9, 1]",0,14.625216666666667,False,1805,"[8, 0, 0]",0,,True,9 + 1 = ?,"[1, 0]",,1,4335,,12,1,,undefined,"[13, 9, 4]",0,"[8, 7, 5]","[1, 0, 0]",0,filler,alternative,
2,"[1, 0]",True,Some of the symbols are clubs.,All of the symbols are circles.,"[8, 6, 9]",0,14.625216666666667,True,3381,"[0, 0, 0]",0,,True,All of the symbols are notes.,"[1, 0]",,0,6396,,12,1,,undefined,"[7, 8, 1]",0,"[1, 2, 0]","[0, 0, 0]",0,filler,alternative,
2,"[0, 1]",True,Some of the symbols are stars.,All of the symbols are stars.,"[2, 8, 6]",1,14.625216666666667,True,1368,"[0, 0, 0]",0,,True,All of the symbols are ticks.,"[1, 0]",,1,4243,,12,1,,undefined,"[6, 9, 8]",0,"[6, 9, 2]","[0, 0, 0]",0,filler,alternative,
1,"[1, 0]",False,Some of the symbols are circles.,Some of the symbols are ticks.,"[4, 3, 5]",0,14.625216666666667,False,2019,"[0, 0, 0]",0,,True,Some of the symbols are hearts.,"[1, 0]",,1,8463,,12,0,,undefined,"[2, 7, 0]",0,"[7, 3, 0]","[0, 0, 0]",0,filler,alternative,
3,"[0, 1]",True,Some of the symbols are squares.,8 + 9 = ?,"[13, 9, 4]",1,14.625216666666667,False,1261,"[3, 0, 0]",0,,False,9 + 4 = ?,"[0, 1]",,1,5767,,12,1,,undefined,"[17, 8, 9]",1,"[5, 4, 6]","[9, 0, 0]",0,response,alternative,
2,"[0, 1]",True,There are four hearts.,There are six squares.,"[2, 8, 9]",1,14.625216666666667,True,987,"[0, 0, 0]",0,,True,There are six ticks.,"[1, 0]",,1,4094,,12,0,,undefined,"[5, 1, 7]",0,"[4, 6, 5]","[0, 0, 0]",1,response,alternative,
0,"[1, 0]",True,There is a note.,There is a diamond.,"[8, 3, 9]",0,14.625216666666667,True,2023,"[0, 0, 0]",1,,True,There is a note.,"[0, 1]",,0,5881,,12,0,,undefined,"[0, 8, 2]",1,"[8, 6, 0]","[0, 0, 0]",2,response,alternative,
0,"[1, 0]",True,There is a triangle.,There is a tick.,"[9, 5, 0]",0,14.625216666666667,True,2774,"[0, 0, 0]",0,,True,There is a triangle.,"[1, 0]",,0,5734,,12,1,,undefined,"[2, 7, 4]",0,"[9, 4, 3]","[0, 0, 0]",2,filler,alternative,
0,"[0, 1]",True,There is a star.,There is a diamond.,"[3, 8, 1]",1,14.625216666666667,True,1919,"[0, 0, 0]",0,,True,There is a spade.,"[1, 0]",,1,11238,,12,1,,undefined,"[0, 6, 7]",0,"[6, 7, 4]","[0, 0, 0]",2,filler,alternative,
0,"[0, 1]",True,Some of the symbols are triangles.,Some of the symbols are notes.,"[0, 5, 6]",1,14.625216666666667,True,1415,"[0, 0, 0]",0,,True,Some of the symbols are diamonds.,"[1, 0]",,1,8296,,12,0,,undefined,"[8, 5, 0]",0,"[9, 6, 5]","[0, 0, 0]",0,filler,alternative,
0,"[1, 0]",True,There is a star.,There is a star.,"[6, 3, 0]",0,14.625216666666667,True,1812,"[0, 0, 0]",0,,True,There is a star.,"[1, 0]",,0,7917,,12,0,,undefined,"[6, 2, 9]",0,"[6, 2, 7]","[0, 0, 0]",2,response,alternative,
0,"[0, 1]",True,There are four clubs.,There are four spades.,"[2, 3, 8]",1,14.625216666666667,True,1385,"[0, 0, 0]",1,,True,There are four ticks.,"[0, 1]",,1,4913,,12,0,,undefined,"[3, 7, 2]",1,"[1, 8, 6]","[0, 0, 0]",1,response,alternative,
2,"[0, 1]",True,Some of the symbols are spades.,All of the symbols are clubs.,"[6, 8, 7]",1,14.625216666666667,True,1933,"[0, 0, 0]",0,,True,All of the symbols are stars.,"[1, 0]",,1,4869,,12,0,,undefined,"[1, 0, 9]",0,"[3, 4, 6]","[0, 0, 0]",0,filler,alternative,
3,"[0, 1]",False,Some of the symbols are hearts.,7 + 2 = ?,"[14, 8, 6]",1,14.625216666666667,False,1565,"[8, 0, 0]",1,,True,8 + 6 = ?,"[0, 1]",,0,4397,,12,0,,undefined,"[9, 7, 2]",1,"[4, 0, 6]","[4, 0, 0]",0,response,alternative,
0,"[1, 0]",True,Some of the symbols are spades.,Some of the symbols are squares.,"[1, 0, 6]",0,14.625216666666667,True,5819,"[0, 0, 0]",0,,True,Some of the symbols are clubs.,"[1, 0]",,0,13183,,12,0,,undefined,"[5, 3, 8]",0,"[3, 7, 8]","[0, 0, 0]",0,response,alternative,
0,"[1, 0]",True,There are four triangles.,There are four triangles.,"[1, 8, 7]",0,14.625216666666667,True,1993,"[0, 0, 0]",0,,True,There are four clubs.,"[1, 0]",,0,5353,,12,1,,undefined,"[9, 1, 5]",0,"[9, 6, 4]","[0, 0, 0]",1,filler,alternative,
2,"[1, 0]",True,There are four spades.,There are six clubs.,"[7, 2, 5]",0,14.625216666666667,True,1230,"[0, 0, 0]",0,,True,There are six circles.,"[1, 0]",,0,5427,,12,0,,undefined,"[1, 0, 8]",0,"[3, 6, 4]","[0, 0, 0]",1,response,alternative,
2,"[1, 0]",True,There are four diamonds.,There are six spades.,"[4, 6, 0]",0,14.625216666666667,True,1301,"[0, 0, 0]",0,,True,There are six hearts.,"[1, 0]",,0,3252,,12,1,,undefined,"[3, 9, 7]",0,"[0, 9, 6]","[0, 0, 0]",1,filler,alternative,
2,"[1, 0]",False,There is a star.,There is a note and a triangle.,"[9, 6, 5]",0,14.625216666666667,False,1397,"[0, 0, 0]",1,,False,There is a triangle and a star.,"[1, 0]",,1,4261,,12,0,,undefined,"[8, 9, 3]",0,"[6, 3, 9]","[0, 0, 0]",2,filler,alternative,
0,"[1, 0]",True,There is a diamond.,There is a triangle.,"[1, 2, 9]",0,14.625216666666667,True,345,"[0, 0, 0]",1,,True,There is a club.,"[0, 1]",,0,2272,,12,1,,undefined,"[9, 1, 5]",1,"[0, 8, 7]","[0, 0, 0]",2,response,alternative,
3,"[1, 0]",False,There are four stars.,6 + 3 = ?,"[9, 2, 7]",0,14.625216666666667,False,16584,"[10, 0, 0]",0,,False,2 + 7 = ?,"[0, 1]",,1,21514,,12,0,,undefined,"[9, 6, 3]",1,"[6, 7, 2]","[7, 0, 0]",1,response,alternative,
1,"[1, 0]",True,There are four circles.,There are four diamonds.,"[7, 6, 0]",0,14.625216666666667,False,821,"[0, 0, 0]",1,,False,There are four circles.,"[1, 0]",,0,3852,,12,0,,undefined,"[0, 4, 3]",0,"[7, 2, 3]","[0, 0, 0]",1,response,alternative,
3,"[0, 1]",True,There is a note.,5 + 2 = ?,"[3, 2, 1]",1,14.625216666666667,False,1567,"[4, 0, 0]",0,,False,2 + 1 = ?,"[0, 1]",,1,4824,,12,0,,undefined,"[7, 5, 2]",1,"[8, 7, 0]","[6, 0, 0]",2,filler,alternative,
2,"[0, 1]",True,There is a diamond.,There is a heart and a square.,"[5, 4, 8]",1,14.625216666666667,False,6537,"[0, 0, 0]",0,,False,There is a square and a heart.,"[0, 1]",,1,10977,,12,1,,undefined,"[4, 5, 6]",1,"[0, 9, 3]","[0, 0, 0]",2,filler,alternative,
0,"[1, 0]",True,There is a circle.,There is a spade.,"[4, 6, 3]",0,14.625216666666667,True,2138,"[0, 0, 0]",0,,True,There is a heart.,"[1, 0]",,0,5772,,12,1,,undefined,"[3, 9, 0]",0,"[7, 2, 8]","[0, 0, 0]",2,filler,alternative,
3,"[1, 0]",True,There is a triangle.,2 + 4 = ?,"[11, 7, 4]",0,14.625216666666667,True,2965,"[4, 0, 0]",1,,True,7 + 4 = ?,"[0, 1]",,0,6021,,12,1,,undefined,"[6, 2, 4]",1,"[9, 4, 1]","[1, 0, 0]",2,filler,alternative,
2,"[0, 1]",True,There is a circle.,There is a triangle and a square.,"[9, 0, 4]",1,14.625216666666667,True,1018,"[0, 0, 0]",0,,True,There is a triangle and a diamond.,"[1, 0]",,1,4783,,12,0,,undefined,"[9, 5, 7]",0,"[7, 5, 4]","[0, 0, 0]",2,response,alternative,
2,"[1, 0]",True,There is a note.,There is a tick and a star.,"[6, 4, 2]",0,14.625216666666667,False,2084,"[0, 0, 0]",1,,False,There is a star and a heart.,"[1, 0]",,0,5920,,12,0,,undefined,"[2, 6, 4]",0,"[8, 9, 4]","[0, 0, 0]",2,response,alternative,
1,"[0, 1]",True,Some of the symbols are notes.,Some of the symbols are notes.,"[0, 7, 5]",1,14.625216666666667,True,1323,"[0, 0, 0]",1,,True,Some of the symbols are diamonds.,"[0, 1]",,1,5726,,12,0,,undefined,"[8, 0, 5]",1,"[8, 2, 6]","[0, 0, 0]",0,filler,alternative,
2,"[1, 0]",False,Some of the symbols are diamonds.,All of the symbols are clubs.,"[5, 1, 3]",0,14.625216666666667,False,1035,"[0, 0, 0]",1,,True,All of the symbols are squares.,"[0, 1]",,1,14063,,12,0,,undefined,"[1, 0, 5]",1,"[0, 4, 8]","[0, 0, 0]",0,response,alternative,
3,"[0, 1]",True,Some of the symbols are hearts.,1 + 2 = ?,"[11, 9, 2]",1,14.625216666666667,True,1349,"[0, 0, 0]",0,,True,9 + 2 = ?,"[1, 0]",,1,3790,,12,0,,undefined,"[3, 1, 2]",0,"[4, 3, 1]","[7, 0, 0]",0,response,alternative,
3,"[1, 0]",False,Some of the symbols are squares.,5 + 0 = ?,"[10, 7, 3]",0,14.625216666666667,False,1103,"[3, 0, 0]",0,,True,7 + 3 = ?,"[1, 0]",,1,3999,,12,0,,undefined,"[5, 5, 0]",0,"[5, 3, 8]","[5, 0, 0]",0,response,alternative,
2,"[0, 1]",True,There is a square.,There is a star and a heart.,"[2, 5, 0]",1,14.625216666666667,True,2959,"[0, 0, 0]",0,,True,There is a tick and a square.,"[1, 0]",,1,5950,,12,0,,undefined,"[6, 4, 3]",0,"[5, 2, 9]","[0, 0, 0]",2,filler,alternative,
1,"[0, 1]",True,Some of the symbols are circles.,Some of the symbols are circles.,"[7, 9, 4]",1,14.625216666666667,True,2068,"[0, 0, 0]",0,,True,Some of the symbols are circles.,"[1, 0]",,1,6640,,12,1,,undefined,"[7, 9, 4]",0,"[7, 5, 1]","[0, 0, 0]",0,filler,alternative,
