pTSymbols,primeType,responseSentence,primeOShuffle,trial_type,pTChoice,slide_type,goodPTChoice,primeStrength,pOSymbols,workerid,pTwrongAnswer,correctPTChoice,correctPOChoice,correctPChoices,pOSentence,pOChoice,slide_number,response,responseChoice,image,pTSentence,audio,block_rt,Answer.condition,btwncondition,goodPOChoice,responseSymbols,Answer.time_in_minutes,response_rt,pOwrongAnswer,primeTShuffle
"[9, 3, 1]",1,There are four circles.,"[0, 1]",filler,0,,1,0,"[6, 7, 8]",6,"[0, 0, 0]",False,True,False,There are four stars.,1,,,0,,There are four triangles.,,854,undefined,exh-subclausal,1,"[7, 9, 5]",1.92805,263,"[0, 0, 0]","[0, 1]"
"[6, 3, 4]",2,There is a diamond.,"[0, 1]",response,1,,1,2,"[2, 5, 7]",6,"[0, 0, 0]",True,False,False,There is a tick but nothing else.,0,,,1,,There is a star but nothing else.,,988,undefined,exh-subclausal,1,"[0, 1, 8]",1.92805,248,"[0, 0, 0]","[0, 1]"
"[4, 0, 4]",0,Some of the symbols are hearts.,"[1, 0]",filler,1,,0,3,"[14, 8, 6]",6,"[9, 0, 0]",False,False,False,8 + 6 = ?,1,,,1,,0 + 4 = ?,,789,undefined,exh-subclausal,0,"[4, 6, 7]",1.92805,271,"[5, 0, 0]","[1, 0]"
"[3, 2, 4]",1,There are four hearts.,"[1, 0]",response,0,,1,1,"[4, 1, 7]",6,"[0, 0, 0]",False,True,False,There are four hearts.,0,,,0,,There are four spades.,,782,undefined,exh-subclausal,0,"[4, 1, 3]",1.92805,271,"[0, 0, 0]","[0, 1]"
"[9, 6, 7]",0,Some of the symbols are stars.,"[1, 0]",filler,0,,1,2,"[6, 9, 4]",6,"[0, 0, 0]",False,True,False,Some but not all of the symbols are stars.,0,,,0,,Some but not all of the symbols are triangles.,,3349,undefined,exh-subclausal,0,"[6, 4, 5]",1.92805,2806,"[0, 0, 0]","[0, 1]"
"[2, 4, 0]",0,Some of the symbols are stars.,"[1, 0]",response,0,,0,1,"[5, 3, 4]",6,"[0, 0, 0]",True,False,False,Some of the symbols are squares.,1,,,0,,Some of the symbols are ticks.,,774,undefined,exh-subclausal,0,"[6, 7, 0]",1.92805,252,"[0, 0, 0]","[1, 0]"
"[9, 5, 4]",1,There are four squares.,"[0, 1]",filler,0,,1,3,"[10, 5, 5]",6,"[2, 0, 0]",False,False,False,5 + 5 = ?,0,,,1,,5 + 4 = ?,,768,undefined,exh-subclausal,1,"[5, 6, 1]",1.92805,265,"[6, 0, 0]","[0, 1]"
"[4, 5, 3]",1,There are four clubs.,"[1, 0]",response,1,,1,0,"[8, 5, 3]",6,"[0, 0, 0]",True,False,False,There are four notes.,1,,,1,,There are four hearts.,,765,undefined,exh-subclausal,0,"[1, 6, 4]",1.92805,269,"[0, 0, 0]","[0, 1]"
"[4, 3, 6]",0,Some of the symbols are triangles.,"[1, 0]",response,1,,1,2,"[1, 2, 5]",6,"[0, 0, 0]",True,False,False,Some but not all of the symbols are clubs.,1,,,1,,Some but not all of the symbols are hearts.,,764,undefined,exh-subclausal,0,"[9, 3, 4]",1.92805,270,"[0, 0, 0]","[0, 1]"
"[11, 2, 9]",0,Some of the symbols are spades.,"[0, 1]",filler,1,,1,3,"[14, 5, 9]",6,"[1, 0, 0]",True,True,True,5 + 9 = ?,1,,,1,,2 + 9 = ?,,750,undefined,exh-subclausal,1,"[3, 9, 4]",1.92805,282,"[8, 0, 0]","[0, 1]"
"[4, 0, 5]",2,There is a tick.,"[0, 1]",filler,1,,0,2,"[8, 6, 0]",6,"[0, 0, 0]",False,True,False,There is a note but nothing else.,1,,,1,,There is a heart but nothing else.,,781,undefined,exh-subclausal,1,"[2, 1, 0]",1.92805,277,"[0, 0, 0]","[1, 0]"
"[3, 4, 8]",0,Some of the symbols are diamonds.,"[1, 0]",response,1,,1,2,"[5, 3, 1]",6,"[0, 0, 0]",True,False,False,Some but not all of the symbols are squares.,1,,,1,,Some but not all of the symbols are spades.,,756,undefined,exh-subclausal,0,"[0, 4, 3]",1.92805,240,"[0, 0, 0]","[0, 1]"
"[9, 3, 6]",2,There is a note.,"[0, 1]",response,0,,1,3,"[4, 3, 1]",6,"[4, 0, 0]",False,False,False,3 + 1 = ?,0,,,0,,3 + 6 = ?,,794,undefined,exh-subclausal,1,"[8, 2, 0]",1.92805,230,"[7, 0, 0]","[0, 1]"
"[6, 8, 9]",0,Some of the symbols are ticks.,"[1, 0]",response,0,,1,2,"[3, 4, 9]",6,"[0, 0, 0]",False,True,False,Some but not all of the symbols are spades.,0,,,0,,Some but not all of the symbols are stars.,,803,undefined,exh-subclausal,0,"[2, 0, 3]",1.92805,255,"[0, 0, 0]","[0, 1]"
"[4, 7, 5]",2,There is a star.,"[0, 1]",filler,0,,0,0,"[7, 8, 2]",6,"[0, 0, 0]",True,False,False,There is a circle.,0,,,0,,There is a heart.,,811,undefined,exh-subclausal,1,"[6, 2, 5]",1.92805,292,"[0, 0, 0]","[1, 0]"
"[7, 9, 6]",0,Some of the symbols are stars.,"[1, 0]",response,0,,0,0,"[3, 1, 0]",6,"[0, 0, 0]",True,True,True,Some of the symbols are spades.,0,,,0,,Some of the symbols are circles.,,747,undefined,exh-subclausal,0,"[6, 3, 2]",1.92805,258,"[0, 0, 0]","[1, 0]"
"[5, 4, 1]",2,There is a spade.,"[0, 1]",filler,0,,1,1,"[3, 1, 6]",6,"[0, 0, 0]",False,False,False,There is a spade.,0,,,0,,There is a square.,,717,undefined,exh-subclausal,1,"[3, 8, 0]",1.92805,230,"[0, 0, 0]","[0, 1]"
"[8, 0, 8]",1,There are four spades.,"[0, 1]",response,0,,1,3,"[9, 3, 6]",6,"[3, 0, 0]",False,False,False,3 + 6 = ?,0,,,1,,0 + 8 = ?,,730,undefined,exh-subclausal,1,"[3, 6, 0]",1.92805,249,"[0, 0, 0]","[0, 1]"
"[8, 2, 6]",1,There are four spades.,"[0, 1]",response,1,,0,3,"[4, 3, 1]",6,"[9, 0, 0]",False,True,False,3 + 1 = ?,1,,,0,,2 + 6 = ?,,794,undefined,exh-subclausal,1,"[3, 8, 9]",1.92805,298,"[7, 0, 0]","[1, 0]"
"[9, 7, 3]",2,There is a club.,"[0, 1]",response,0,,0,1,"[0, 5, 4]",6,"[0, 0, 0]",True,False,False,There is a diamond.,0,,,0,,There is a triangle.,,740,undefined,exh-subclausal,1,"[1, 9, 0]",1.92805,260,"[0, 0, 0]","[1, 0]"
"[2, 3, 4]",0,Some of the symbols are notes.,"[0, 1]",filler,0,,0,1,"[4, 1, 6]",6,"[0, 0, 0]",True,True,True,Some of the symbols are hearts.,1,,,0,,Some of the symbols are ticks.,,743,undefined,exh-subclausal,1,"[8, 0, 4]",1.92805,233,"[0, 0, 0]","[1, 0]"
"[11, 5, 6]",2,There is a heart.,"[1, 0]",filler,0,,1,3,"[12, 7, 5]",6,"[1, 0, 0]",False,True,False,7 + 5 = ?,0,,,0,,5 + 6 = ?,,752,undefined,exh-subclausal,0,"[4, 2, 6]",1.92805,222,"[9, 0, 0]","[0, 1]"
"[1, 9, 6]",1,There are four squares.,"[1, 0]",response,1,,1,0,"[1, 7, 0]",6,"[0, 0, 0]",True,True,True,There are four clubs.,0,,,1,,There are four clubs.,,745,undefined,exh-subclausal,0,"[5, 2, 7]",1.92805,243,"[0, 0, 0]","[0, 1]"
"[3, 8, 7]",2,There is a tick.,"[0, 1]",filler,1,,0,0,"[3, 7, 5]",6,"[0, 0, 0]",False,True,False,There is a spade.,1,,,1,,There is a spade.,,3045,undefined,exh-subclausal,1,"[2, 6, 8]",1.92805,2560,"[0, 0, 0]","[1, 0]"
"[7, 8, 9]",0,Some of the symbols are clubs.,"[0, 1]",filler,0,,1,0,"[2, 4, 9]",6,"[0, 0, 0]",False,False,False,Some of the symbols are ticks.,0,,,0,,Some of the symbols are circles.,,689,undefined,exh-subclausal,1,"[1, 6, 2]",1.92805,223,"[0, 0, 0]","[0, 1]"
"[6, 9, 3]",1,There are four notes.,"[1, 0]",response,0,,1,0,"[6, 4, 5]",6,"[0, 0, 0]",False,True,False,There are four stars.,0,,,0,,There are four stars.,,695,undefined,exh-subclausal,0,"[8, 2, 9]",1.92805,230,"[0, 0, 0]","[0, 1]"
"[2, 4, 0]",0,Some of the symbols are circles.,"[1, 0]",filler,0,,0,0,"[5, 7, 8]",6,"[0, 0, 0]",True,True,True,Some of the symbols are squares.,0,,,0,,Some of the symbols are ticks.,,658,undefined,exh-subclausal,0,"[7, 0, 1]",1.92805,225,"[0, 0, 0]","[1, 0]"
"[13, 4, 9]",1,There are four ticks.,"[0, 1]",response,1,,0,3,"[13, 4, 9]",6,"[8, 0, 0]",False,True,False,4 + 9 = ?,1,,,1,,4 + 9 = ?,,631,undefined,exh-subclausal,1,"[2, 0, 1]",1.92805,210,"[4, 0, 0]","[1, 0]"
"[3, 9, 1]",2,There is a diamond.,"[0, 1]",filler,1,,1,0,"[7, 9, 6]",6,"[0, 0, 0]",True,True,True,There is a circle.,1,,,1,,There is a spade.,,633,undefined,exh-subclausal,1,"[0, 3, 6]",1.92805,212,"[0, 0, 0]","[0, 1]"
"[4, 3, 1]",1,There are four circles.,"[1, 0]",filler,1,,0,3,"[10, 9, 1]",6,"[3, 0, 0]",False,False,False,9 + 1 = ?,1,,,1,,3 + 1 = ?,,666,undefined,exh-subclausal,0,"[7, 0, 5]",1.92805,234,"[9, 0, 0]","[1, 0]"
"[0, 4, 2]",0,Some of the symbols are hearts.,"[1, 0]",filler,1,,1,2,"[2, 9, 4]",6,"[0, 0, 0]",True,False,False,Some but not all of the symbols are ticks.,1,,,0,,Some but not all of the symbols are diamonds.,,641,undefined,exh-subclausal,0,"[4, 5, 7]",1.92805,213,"[0, 0, 0]","[0, 1]"
"[8, 0, 2]",2,There is a star.,"[1, 0]",filler,1,,1,2,"[4, 9, 3]",6,"[0, 0, 0]",True,False,False,There is a heart but nothing else.,1,,,1,,There is a note but nothing else.,,615,undefined,exh-subclausal,0,"[6, 9, 5]",1.92805,184,"[0, 0, 0]","[0, 1]"
"[5, 4, 1]",0,Some of the symbols are spades.,"[0, 1]",response,1,,1,0,"[3, 0, 8]",6,"[0, 0, 0]",True,True,True,Some of the symbols are spades.,1,,,1,,Some of the symbols are squares.,,609,undefined,exh-subclausal,1,"[3, 9, 8]",1.92805,208,"[0, 0, 0]","[0, 1]"
"[7, 0, 2]",0,Some of the symbols are squares.,"[0, 1]",response,1,,0,1,"[8, 2, 5]",6,"[0, 0, 0]",False,True,False,Some of the symbols are notes.,1,,,1,,Some of the symbols are circles.,,688,undefined,exh-subclausal,1,"[5, 3, 4]",1.92805,238,"[0, 0, 0]","[1, 0]"
"[8, 4, 5]",2,There is a triangle.,"[0, 1]",filler,1,,1,1,"[2, 4, 1]",6,"[0, 0, 0]",True,True,True,There is a tick.,1,,,1,,There is a note.,,668,undefined,exh-subclausal,1,"[9, 4, 2]",1.92805,220,"[0, 0, 0]","[0, 1]"
"[3, 9, 1]",0,Some of the symbols are hearts.,"[1, 0]",filler,1,,1,1,"[7, 3, 9]",6,"[0, 0, 0]",True,False,False,Some of the symbols are circles.,1,,,1,,Some of the symbols are spades.,,682,undefined,exh-subclausal,0,"[4, 3, 2]",1.92805,226,"[0, 0, 0]","[0, 1]"
"[1, 9, 4]",0,Some of the symbols are squares.,"[0, 1]",filler,1,,1,1,"[5, 3, 4]",6,"[0, 0, 0]",True,True,True,Some of the symbols are squares.,1,,,1,,Some of the symbols are clubs.,,696,undefined,exh-subclausal,1,"[5, 8, 6]",1.92805,215,"[0, 0, 0]","[0, 1]"
"[3, 0, 9]",1,There are four clubs.,"[1, 0]",filler,1,,1,1,"[1, 0, 8]",6,"[0, 0, 0]",True,False,False,There are four clubs.,1,,,1,,There are four spades.,,706,undefined,exh-subclausal,0,"[1, 6, 4]",1.92805,255,"[0, 0, 0]","[0, 1]"
"[4, 3, 7]",0,Some of the symbols are circles.,"[0, 1]",response,1,,1,1,"[4, 2, 1]",6,"[0, 0, 0]",True,True,True,Some of the symbols are hearts.,1,,,1,,Some of the symbols are hearts.,,685,undefined,exh-subclausal,1,"[7, 6, 0]",1.92805,220,"[0, 0, 0]","[0, 1]"
"[4, 8, 9]",2,There is a tick.,"[0, 1]",response,1,,0,0,"[0, 8, 4]",6,"[0, 0, 0]",False,True,False,There is a diamond.,1,,,1,,There is a heart.,,687,undefined,exh-subclausal,1,"[2, 7, 0]",1.92805,219,"[0, 0, 0]","[1, 0]"
"[3, 9, 6]",2,There is a diamond.,"[1, 0]",response,1,,0,2,"[5, 6, 3]",6,"[0, 0, 0]",False,False,False,There is a square but nothing else.,1,,,1,,There is a spade but nothing else.,,655,undefined,exh-subclausal,0,"[0, 1, 4]",1.92805,220,"[0, 0, 0]","[1, 0]"
"[3, 7, 9]",1,There are four ticks.,"[0, 1]",filler,1,,0,0,"[5, 4, 3]",6,"[0, 0, 0]",False,True,False,There are four squares.,1,,,1,,There are four spades.,,712,undefined,exh-subclausal,1,"[2, 4, 6]",1.92805,223,"[0, 0, 0]","[1, 0]"
"[2, 8, 9]",1,There are four stars.,"[1, 0]",filler,1,,0,2,"[0, 9, 7]",6,"[0, 0, 0]",False,False,False,There are four but no more than four diamonds.,1,,,1,,There are four but no more than four ticks.,,673,undefined,exh-subclausal,0,"[6, 2, 9]",1.92805,220,"[0, 0, 0]","[1, 0]"
"[6, 0, 9]",0,Some of the symbols are circles.,"[0, 1]",response,1,,1,2,"[7, 9, 6]",6,"[0, 0, 0]",True,True,True,Some but not all of the symbols are circles.,1,,,1,,Some but not all of the symbols are stars.,,680,undefined,exh-subclausal,1,"[7, 4, 6]",1.92805,224,"[0, 0, 0]","[0, 1]"
"[4, 3, 0]",1,There are four spades.,"[1, 0]",response,1,,0,0,"[8, 7, 5]",6,"[0, 0, 0]",False,False,False,There are four notes.,1,,,1,,There are four hearts.,,742,undefined,exh-subclausal,0,"[3, 9, 7]",1.92805,258,"[0, 0, 0]","[1, 0]"
"[5, 6, 4]",2,There is a spade.,"[1, 0]",response,0,,0,1,"[8, 3, 5]",6,"[0, 0, 0]",True,False,False,There is a note.,1,,,0,,There is a square.,,605,undefined,exh-subclausal,0,"[3, 6, 7]",1.92805,202,"[0, 0, 0]","[1, 0]"
"[7, 8, 0]",1,There are four hearts.,"[1, 0]",response,1,,0,1,"[6, 3, 0]",6,"[0, 0, 0]",False,False,False,There are four stars.,1,,,1,,There are four circles.,,649,undefined,exh-subclausal,0,"[4, 2, 9]",1.92805,220,"[0, 0, 0]","[1, 0]"
"[9, 8, 2]",2,There is a square.,"[0, 1]",response,1,,0,0,"[7, 1, 6]",6,"[0, 0, 0]",False,True,False,There is a circle.,1,,,1,,There is a triangle.,,643,undefined,exh-subclausal,1,"[5, 1, 8]",1.92805,214,"[0, 0, 0]","[1, 0]"
,,,,,,bot_check,,,,7,,,,,,,1,"[0, 'Jessica']",,Jessica,,,,undefined,,,,16.5728,,,
"[4, 9, 7]",2,There is a heart.,"[1, 0]",response,1,,1,2,"[6, 2, 5]",7,"[0, 0, 0]",True,True,True,There is a star but nothing else.,0,,,1,,There is a heart but nothing else.,,13330,undefined,exh-subclausal,0,"[4, 1, 8]",16.5728,4445,"[0, 0, 0]","[0, 1]"
"[8, 5, 1]",0,Some of the symbols are diamonds.,"[0, 1]",response,1,,1,0,"[6, 3, 1]",7,"[0, 0, 0]",True,True,True,Some of the symbols are stars.,1,,,0,,Some of the symbols are notes.,,11245,undefined,exh-subclausal,1,"[0, 5, 2]",16.5728,2052,"[0, 0, 0]","[0, 1]"
"[2, 6, 9]",0,Some of the symbols are ticks.,"[1, 0]",response,1,,0,2,"[9, 7, 5]",7,"[0, 0, 0]",False,False,False,Some but not all of the symbols are triangles.,1,,,0,,Some but not all of the symbols are ticks.,,5469,undefined,exh-subclausal,0,"[2, 4, 7]",16.5728,1494,"[0, 0, 0]","[1, 0]"
"[2, 4, 8]",2,There is a note.,"[1, 0]",filler,1,,1,1,"[6, 0, 3]",7,"[0, 0, 0]",True,True,True,There is a star.,0,,,1,,There is a tick.,,8306,undefined,exh-subclausal,0,"[8, 4, 3]",16.5728,2260,"[0, 0, 0]","[0, 1]"
"[6, 0, 3]",0,Some of the symbols are triangles.,"[1, 0]",response,0,,1,1,"[8, 5, 4]",7,"[0, 0, 0]",False,False,False,Some of the symbols are notes.,1,,,0,,Some of the symbols are stars.,,5803,undefined,exh-subclausal,0,"[9, 3, 1]",16.5728,1919,"[0, 0, 0]","[0, 1]"
"[2, 6, 7]",2,There is a tick.,"[1, 0]",response,1,,1,1,"[9, 7, 8]",7,"[0, 0, 0]",True,True,True,There is a triangle.,0,,,1,,There is a tick.,,6551,undefined,exh-subclausal,0,"[2, 7, 9]",16.5728,3677,"[0, 0, 0]","[0, 1]"
"[3, 5, 9]",0,Some of the symbols are circles.,"[1, 0]",filler,1,,0,1,"[6, 5, 1]",7,"[0, 0, 0]",False,False,False,Some of the symbols are stars.,1,,,1,,Some of the symbols are spades.,,6116,undefined,exh-subclausal,0,"[7, 8, 0]",16.5728,1906,"[0, 0, 0]","[1, 0]"
"[5, 0, 5]",1,There are four ticks.,"[1, 0]",filler,1,,1,3,"[2, 2, 0]",7,"[9, 0, 0]",True,True,True,2 + 0 = ?,0,,,1,,0 + 5 = ?,,4650,undefined,exh-subclausal,0,"[2, 7, 1]",16.5728,1665,"[3, 0, 0]","[0, 1]"
"[6, 3, 1]",1,There are four squares.,"[1, 0]",filler,1,,1,0,"[1, 2, 5]",7,"[0, 0, 0]",True,True,True,There are four clubs.,0,,,0,,There are four stars.,,5717,undefined,exh-subclausal,0,"[5, 3, 4]",16.5728,1447,"[0, 0, 0]","[0, 1]"
"[8, 6, 2]",0,Some of the symbols are notes.,"[0, 1]",response,0,,0,3,"[13, 8, 5]",7,"[7, 0, 0]",True,True,True,8 + 5 = ?,1,,,0,,6 + 2 = ?,,6588,undefined,exh-subclausal,1,"[8, 1, 9]",16.5728,3039,"[6, 0, 0]","[1, 0]"
"[0, 5, 9]",0,Some of the symbols are squares.,"[0, 1]",filler,0,,1,2,"[8, 4, 6]",7,"[0, 0, 0]",False,False,False,Some but not all of the symbols are notes.,0,,,1,,Some but not all of the symbols are diamonds.,,53195,undefined,exh-subclausal,1,"[5, 4, 3]",16.5728,7727,"[0, 0, 0]","[0, 1]"
"[9, 0, 2]",1,There are four circles.,"[0, 1]",response,1,,1,0,"[0, 4, 8]",7,"[0, 0, 0]",True,True,True,There are four diamonds.,1,,,0,,There are four triangles.,,6834,undefined,exh-subclausal,1,"[7, 1, 5]",16.5728,1176,"[0, 0, 0]","[0, 1]"
"[5, 8, 4]",2,There is a triangle.,"[1, 0]",response,0,,1,2,"[6, 3, 9]",7,"[0, 0, 0]",False,True,False,There is a star but nothing else.,0,,,0,,There is a square but nothing else.,,10306,undefined,exh-subclausal,0,"[9, 3, 4]",16.5728,1836,"[0, 0, 0]","[0, 1]"
"[10, 3, 7]",1,There are four diamonds.,"[0, 1]",filler,0,,1,3,"[16, 8, 8]",7,"[4, 0, 0]",False,True,False,8 + 8 = ?,1,,,1,,3 + 7 = ?,,4454,undefined,exh-subclausal,1,"[0, 5, 2]",16.5728,1439,"[3, 0, 0]","[0, 1]"
"[3, 0, 3]",0,Some of the symbols are hearts.,"[1, 0]",filler,1,,1,3,"[9, 8, 1]",7,"[3, 0, 0]",True,True,True,8 + 1 = ?,0,,,1,,0 + 3 = ?,,5628,undefined,exh-subclausal,0,"[4, 8, 1]",16.5728,2199,"[7, 0, 0]","[0, 1]"
"[12, 3, 9]",2,There is a circle.,"[0, 1]",filler,0,,1,3,"[11, 6, 5]",7,"[5, 0, 0]",False,True,False,6 + 5 = ?,1,,,1,,3 + 9 = ?,,6455,undefined,exh-subclausal,1,"[7, 5, 4]",16.5728,1591,"[0, 0, 0]","[0, 1]"
"[4, 3, 2]",2,There is a triangle.,"[1, 0]",response,1,,0,1,"[1, 5, 4]",7,"[0, 0, 0]",False,True,False,There is a club.,0,,,0,,There is a heart.,,5536,undefined,exh-subclausal,0,"[9, 4, 8]",16.5728,1388,"[0, 0, 0]","[1, 0]"
"[8, 3, 6]",1,There are four squares.,"[0, 1]",filler,0,,0,1,"[6, 7, 4]",7,"[0, 0, 0]",True,True,True,There are four stars.,1,,,1,,There are four notes.,,5129,undefined,exh-subclausal,1,"[5, 7, 9]",16.5728,1495,"[0, 0, 0]","[1, 0]"
"[0, 3, 7]",0,Some of the symbols are hearts.,"[1, 0]",response,1,,0,1,"[2, 7, 4]",7,"[0, 0, 0]",False,False,False,Some of the symbols are ticks.,1,,,0,,Some of the symbols are diamonds.,,4443,undefined,exh-subclausal,0,"[4, 5, 7]",16.5728,1362,"[0, 0, 0]","[1, 0]"
"[4, 3, 1]",1,There are four stars.,"[0, 1]",filler,0,,0,3,"[6, 2, 4]",7,"[8, 0, 0]",True,True,True,2 + 4 = ?,1,,,1,,3 + 1 = ?,,4590,undefined,exh-subclausal,1,"[6, 2, 5]",16.5728,1539,"[9, 0, 0]","[1, 0]"
"[2, 6, 0]",1,There are four hearts.,"[1, 0]",response,0,,0,1,"[0, 3, 2]",7,"[0, 0, 0]",True,True,True,There are four diamonds.,0,,,0,,There are four ticks.,,4596,undefined,exh-subclausal,0,"[4, 0, 1]",16.5728,1438,"[0, 0, 0]","[1, 0]"
"[4, 7, 0]",0,Some of the symbols are circles.,"[1, 0]",filler,0,,1,2,"[3, 7, 6]",7,"[0, 0, 0]",False,False,False,Some but not all of the symbols are spades.,1,,,1,,Some but not all of the symbols are hearts.,,5000,undefined,exh-subclausal,0,"[7, 9, 3]",16.5728,1417,"[0, 0, 0]","[0, 1]"
"[3, 4, 6]",2,There is a heart.,"[1, 0]",filler,0,,0,0,"[9, 5, 4]",7,"[0, 0, 0]",True,True,True,There is a triangle.,0,,,1,,There is a spade.,,7472,undefined,exh-subclausal,0,"[4, 9, 1]",16.5728,1738,"[0, 0, 0]","[1, 0]"
"[2, 1, 1]",2,There is a heart.,"[0, 1]",filler,1,,1,3,"[16, 8, 8]",7,"[0, 0, 0]",True,False,False,8 + 8 = ?,0,,,1,,1 + 1 = ?,,5767,undefined,exh-subclausal,1,"[4, 1, 3]",16.5728,3368,"[7, 0, 0]","[0, 1]"
"[9, 8, 5]",0,Some of the symbols are squares.,"[0, 1]",response,1,,0,2,"[4, 1, 0]",7,"[0, 0, 0]",False,False,False,Some but not all of the symbols are hearts.,0,,,0,,Some but not all of the symbols are triangles.,,6218,undefined,exh-subclausal,1,"[5, 7, 3]",16.5728,1543,"[0, 0, 0]","[1, 0]"
"[10, 6, 4]",2,There is a triangle.,"[1, 0]",filler,1,,0,3,"[5, 2, 3]",7,"[2, 0, 0]",False,True,False,2 + 3 = ?,0,,,1,,6 + 4 = ?,,4200,undefined,exh-subclausal,0,"[9, 3, 4]",16.5728,1496,"[8, 0, 0]","[1, 0]"
"[0, 5, 4]",2,There is a spade.,"[0, 1]",response,0,,0,2,"[6, 7, 2]",7,"[0, 0, 0]",True,True,True,There is a star but nothing else.,1,,,1,,There is a diamond but nothing else.,,9170,undefined,exh-subclausal,1,"[3, 5, 9]",16.5728,1819,"[0, 0, 0]","[1, 0]"
"[6, 0, 6]",2,There is a square.,"[0, 1]",response,0,,1,3,"[4, 2, 2]",7,"[7, 0, 0]",False,True,False,2 + 2 = ?,1,,,1,,0 + 6 = ?,,6619,undefined,exh-subclausal,1,"[5, 9, 7]",16.5728,3406,"[1, 0, 0]","[0, 1]"
"[4, 1, 0]",1,There are four circles.,"[1, 0]",filler,1,,1,0,"[0, 9, 2]",7,"[0, 0, 0]",True,True,True,There are four diamonds.,0,,,1,,There are four hearts.,,6131,undefined,exh-subclausal,0,"[7, 1, 5]",16.5728,2566,"[0, 0, 0]","[0, 1]"
"[1, 4, 6]",2,There is a square.,"[0, 1]",response,1,,1,1,"[3, 7, 9]",7,"[0, 0, 0]",True,True,True,There is a spade.,1,,,1,,There is a club.,,6302,undefined,exh-subclausal,1,"[5, 2, 6]",16.5728,2920,"[0, 0, 0]","[0, 1]"
"[9, 7, 2]",0,Some of the symbols are stars.,"[0, 1]",response,1,,0,3,"[11, 8, 3]",7,"[1, 0, 0]",False,False,False,8 + 3 = ?,0,,,0,,7 + 2 = ?,,4970,undefined,exh-subclausal,1,"[6, 5, 7]",16.5728,1765,"[1, 0, 0]","[1, 0]"
"[9, 1, 6]",1,There are four notes.,"[0, 1]",filler,0,,0,2,"[1, 5, 4]",7,"[0, 0, 0]",True,True,True,There are four but no more than four clubs.,1,,,1,,There are four but no more than four triangles.,,5229,undefined,exh-subclausal,1,"[8, 4, 2]",16.5728,2244,"[0, 0, 0]","[1, 0]"
"[12, 8, 4]",0,Some of the symbols are ticks.,"[1, 0]",response,1,,1,3,"[11, 3, 8]",7,"[1, 0, 0]",True,True,True,3 + 8 = ?,0,,,0,,8 + 4 = ?,,4039,undefined,exh-subclausal,0,"[2, 7, 8]",16.5728,1261,"[1, 0, 0]","[0, 1]"
"[13, 8, 5]",1,There are four triangles.,"[0, 1]",filler,0,,1,3,"[3, 1, 2]",7,"[8, 0, 0]",False,True,False,1 + 2 = ?,1,,,1,,8 + 5 = ?,,5297,undefined,exh-subclausal,1,"[9, 5, 8]",16.5728,1348,"[2, 0, 0]","[0, 1]"
"[2, 6, 9]",0,Some of the symbols are stars.,"[0, 1]",response,1,,1,0,"[0, 5, 8]",7,"[0, 0, 0]",True,True,True,Some of the symbols are diamonds.,1,,,0,,Some of the symbols are ticks.,,5919,undefined,exh-subclausal,1,"[6, 7, 5]",16.5728,1990,"[0, 0, 0]","[0, 1]"
"[2, 6, 8]",0,Some of the symbols are clubs.,"[0, 1]",filler,1,,1,0,"[4, 1, 7]",7,"[0, 0, 0]",True,True,True,Some of the symbols are hearts.,1,,,1,,Some of the symbols are ticks.,,5568,undefined,exh-subclausal,1,"[1, 0, 4]",16.5728,2780,"[0, 0, 0]","[0, 1]"
"[1, 4, 7]",2,There is a star.,"[1, 0]",response,0,,0,0,"[6, 2, 7]",7,"[0, 0, 0]",True,True,True,There is a star.,0,,,0,,There is a club.,,6706,undefined,exh-subclausal,0,"[6, 2, 3]",16.5728,1944,"[0, 0, 0]","[1, 0]"
"[3, 8, 5]",0,Some of the symbols are ticks.,"[1, 0]",filler,0,,0,0,"[2, 5, 8]",7,"[0, 0, 0]",True,True,True,Some of the symbols are ticks.,0,,,1,,Some of the symbols are spades.,,10077,undefined,exh-subclausal,0,"[2, 6, 8]",16.5728,1571,"[0, 0, 0]","[1, 0]"
"[7, 7, 0]",1,There are four notes.,"[0, 1]",response,1,,1,3,"[10, 1, 9]",7,"[9, 0, 0]",True,False,False,1 + 9 = ?,0,,,0,,7 + 0 = ?,,4602,undefined,exh-subclausal,1,"[8, 4, 9]",16.5728,1611,"[1, 0, 0]","[0, 1]"
"[4, 9, 3]",0,Some of the symbols are ticks.,"[1, 0]",filler,1,,0,1,"[1, 2, 4]",7,"[0, 0, 0]",False,False,False,Some of the symbols are clubs.,1,,,1,,Some of the symbols are hearts.,,7105,undefined,exh-subclausal,0,"[2, 1, 5]",16.5728,2185,"[0, 0, 0]","[1, 0]"
"[2, 5, 0]",1,There are four diamonds.,"[0, 1]",response,0,,0,0,"[3, 6, 1]",7,"[0, 0, 0]",True,False,False,There are four spades.,0,,,0,,There are four ticks.,,5450,undefined,exh-subclausal,1,"[0, 4, 7]",16.5728,1726,"[0, 0, 0]","[1, 0]"
"[8, 1, 2]",1,There are four stars.,"[1, 0]",filler,1,,1,2,"[1, 4, 6]",7,"[0, 0, 0]",True,False,False,There are four but no more than four clubs.,1,,,0,,There are four but no more than four notes.,,5386,undefined,exh-subclausal,0,"[6, 4, 7]",16.5728,1489,"[0, 0, 0]","[0, 1]"
