responseSymbols,slide_type,response,image,Answer.condition,block_rt,pOSymbols,correctPTChoice,primeStrength,goodPTChoice,responseChoice,primeTShuffle,pOwrongAnswer,pTSentence,trial_type,goodPOChoice,pTSymbols,workerid,pOSentence,primeOShuffle,responseSentence,pOChoice,pTChoice,btwncondition,primeType,Answer.time_in_minutes,correctPChoices,audio,slide_number,pTwrongAnswer,response_rt,correctPOChoice
"[9, 1, 2]",,,,undefined,6389,"[4, 1, 3]",True,3,1,1,"[0, 1]","[3, 0, 0]",7 + 1 = ?,filler,0,"[8, 7, 1]",5,1 + 3 = ?,"[1, 0]",There are four triangles.,0,1,exh-subclausal,1,18.714966666666665,True,,,"[2, 0, 0]",2522,True
"[8, 3, 1]",,,,undefined,9031,"[9, 1, 3]",True,2,1,1,"[0, 1]","[0, 0, 0]",There are four but no more than four triangles.,filler,1,"[9, 4, 2]",5,There are four but no more than four triangles.,"[0, 1]",There are four notes.,1,1,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",2071,True
"[3, 7, 2]",,,,undefined,6935,"[5, 9, 3]",True,2,1,0,"[0, 1]","[0, 0, 0]",There is a diamond but nothing else.,response,0,"[0, 7, 3]",5,There is a square but nothing else.,"[1, 0]",There is a spade.,0,1,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",2233,True
"[4, 7, 5]",,,,undefined,6260,"[7, 4, 3]",True,3,0,0,"[1, 0]","[4, 0, 0]",5 + 9 = ?,response,1,"[14, 5, 9]",5,4 + 3 = ?,"[0, 1]",There is a heart.,1,0,exh-subclausal,2,18.714966666666665,True,,,"[9, 0, 0]",1943,True
"[2, 8, 5]",,,,undefined,8190,"[8, 1, 3]",True,1,1,0,"[0, 1]","[0, 0, 0]",There is a triangle.,response,0,"[9, 6, 8]",5,There is a note.,"[1, 0]",There is a tick.,0,1,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",1897,True
"[8, 2, 5]",,,,undefined,6923,"[5, 9, 3]",True,2,1,0,"[0, 1]","[0, 0, 0]",There are four but no more than four stars.,response,0,"[6, 1, 8]",5,There are four but no more than four squares.,"[1, 0]",There are four notes.,0,1,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",2077,True
"[5, 2, 6]",,,,undefined,5866,"[0, 4, 7]",True,1,0,1,"[1, 0]","[0, 0, 0]",There are four triangles.,filler,1,"[9, 8, 0]",5,There are four diamonds.,"[0, 1]",There are four squares.,1,0,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",1927,True
"[5, 0, 3]",,,,undefined,6876,"[4, 4, 0]",True,3,0,1,"[1, 0]","[0, 0, 0]",9 + 0 = ?,filler,1,"[9, 9, 0]",5,4 + 0 = ?,"[0, 1]",Some of the symbols are squares.,1,0,exh-subclausal,0,18.714966666666665,True,,,"[3, 0, 0]",2699,True
"[0, 2, 9]",,,,undefined,20590,"[6, 8, 0]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are stars.,response,0,"[6, 1, 9]",5,Some of the symbols are stars.,"[1, 0]",Some of the symbols are diamonds.,0,0,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",15211,True
"[2, 6, 4]",,,,undefined,5576,"[13, 5, 8]",True,3,1,1,"[0, 1]","[8, 0, 0]",7 + 3 = ?,filler,0,"[10, 7, 3]",5,5 + 8 = ?,"[1, 0]",There are four ticks.,0,1,exh-subclausal,1,18.714966666666665,True,,,"[9, 0, 0]",1661,True
"[9, 3, 4]",,,,undefined,7778,"[3, 0, 4]",True,1,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are ticks.,filler,1,"[2, 8, 4]",5,Some of the symbols are spades.,"[0, 1]",Some of the symbols are triangles.,1,1,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",2913,True
"[5, 4, 1]",,,,undefined,6260,"[4, 8, 3]",True,1,1,1,"[0, 1]","[0, 0, 0]",There is a spade.,filler,0,"[3, 1, 2]",5,There is a heart.,"[1, 0]",There is a square.,0,1,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",2251,True
"[2, 7, 1]",,,,undefined,6670,"[3, 7, 9]",True,2,0,1,"[1, 0]","[0, 0, 0]",There are four but no more than four notes.,filler,1,"[8, 3, 7]",5,There are four but no more than four spades.,"[0, 1]",There are four ticks.,1,0,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",1787,True
"[7, 8, 6]",,,,undefined,9344,"[0, 6, 1]",True,0,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are stars.,response,0,"[6, 3, 1]",5,Some of the symbols are diamonds.,"[1, 0]",Some of the symbols are circles.,0,1,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",3565,True
"[0, 7, 3]",,,,undefined,7196,"[8, 5, 4]",True,1,0,1,"[1, 0]","[0, 0, 0]",There is a diamond.,filler,1,"[0, 7, 3]",5,There is a note.,"[0, 1]",There is a diamond.,1,0,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",3841,True
"[8, 4, 7]",,,,undefined,10008,"[7, 0, 4]",True,0,1,0,"[0, 1]","[0, 0, 0]",There is a club.,response,1,"[1, 3, 9]",5,There is a circle.,"[0, 1]",There is a note.,1,1,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",1975,True
"[6, 3, 7]",,,,undefined,8384,"[4, 9, 8]",True,0,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are triangles.,filler,0,"[9, 6, 3]",5,Some of the symbols are hearts.,"[1, 0]",Some of the symbols are stars.,0,1,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",3329,True
"[6, 1, 7]",,,,undefined,7668,"[6, 4, 8]",True,2,0,0,"[1, 0]","[0, 0, 0]",There is a diamond but nothing else.,response,1,"[0, 9, 3]",5,There is a star but nothing else.,"[0, 1]",There is a star.,1,0,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",3249,True
"[8, 1, 3]",,,,undefined,9070,"[8, 1, 4]",True,2,0,0,"[1, 0]","[0, 0, 0]",There are four but no more than four ticks.,response,1,"[2, 1, 5]",5,There are four but no more than four notes.,"[0, 1]",There are four notes.,1,0,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",3761,True
"[5, 1, 0]",,,,undefined,21414,"[4, 6, 0]",True,1,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are stars.,filler,0,"[6, 0, 5]",5,Some of the symbols are hearts.,"[1, 0]",Some of the symbols are squares.,0,1,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",2562,True
"[6, 2, 0]",,,,undefined,7065,"[8, 4, 6]",True,0,1,1,"[0, 1]","[0, 0, 0]",There is a note.,filler,1,"[8, 2, 0]",5,There is a note.,"[0, 1]",There is a star.,1,1,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",2437,True
"[8, 7, 4]",,,,undefined,6427,"[7, 1, 8]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are circles.,filler,0,"[7, 3, 1]",5,Some of the symbols are circles.,"[1, 0]",Some of the symbols are notes.,0,0,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",2165,True
"[9, 5, 8]",,,,undefined,9202,"[7, 9, 4]",True,0,1,1,"[0, 1]","[0, 0, 0]",There is a square.,filler,0,"[5, 7, 0]",5,There is a circle.,"[1, 0]",There is a triangle.,0,1,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",4977,True
"[6, 9, 7]",,,,undefined,10797,"[5, 0, 9]",True,1,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are circles.,response,1,"[7, 8, 2]",5,Some of the symbols are squares.,"[0, 1]",Some of the symbols are stars.,1,1,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",5692,True
"[3, 4, 2]",,,,undefined,6050,"[0, 5, 2]",True,2,0,1,"[1, 0]","[0, 0, 0]",There is a tick but nothing else.,filler,0,"[2, 3, 0]",5,There is a diamond but nothing else.,"[1, 0]",There is a spade.,0,0,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",2487,True
"[4, 2, 7]",,,,undefined,5700,"[3, 5, 4]",True,1,0,0,"[1, 0]","[0, 0, 0]",There is a star.,response,0,"[6, 7, 9]",5,There is a spade.,"[1, 0]",There is a heart.,0,0,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",1988,True
"[6, 9, 2]",,,,undefined,5968,"[10, 6, 4]",False,3,1,1,"[0, 1]","[1, 0, 0]",3 + 9 = ?,filler,0,"[12, 3, 9]",5,6 + 4 = ?,"[1, 0]",There is a star.,1,0,exh-subclausal,2,18.714966666666665,False,,,"[2, 0, 0]",2251,False
"[3, 6, 8]",,,,undefined,10934,"[1, 7, 9]",True,2,0,1,"[1, 0]","[0, 0, 0]",Some but not all of the symbols are stars.,response,0,"[6, 3, 8]",5,Some but not all of the symbols are clubs.,"[1, 0]",Some of the symbols are spades.,0,0,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",3384,True
"[2, 1, 3]",,,,undefined,6573,"[11, 5, 6]",False,3,0,1,"[1, 0]","[5, 0, 0]",3 + 6 = ?,response,1,"[9, 3, 6]",5,5 + 6 = ?,"[0, 1]",Some of the symbols are ticks.,0,1,exh-subclausal,0,18.714966666666665,False,,,"[5, 0, 0]",2461,False
"[2, 1, 5]",,,,undefined,6078,"[8, 3, 4]",True,2,1,1,"[0, 1]","[0, 0, 0]",There is a heart but nothing else.,filler,0,"[4, 2, 3]",5,There is a note but nothing else.,"[1, 0]",There is a tick.,0,1,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",2029,True
"[0, 8, 3]",,,,undefined,6119,"[3, 6, 5]",True,1,1,1,"[0, 1]","[0, 0, 0]",There are four ticks.,filler,1,"[2, 1, 4]",5,There are four spades.,"[0, 1]",There are four diamonds.,1,1,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",2054,True
"[6, 1, 4]",,,,undefined,9331,"[2, 4, 1]",True,1,1,0,"[0, 1]","[0, 0, 0]",There are four squares.,response,0,"[5, 9, 2]",5,There are four ticks.,"[1, 0]",There are four stars.,0,1,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",5669,True
"[8, 3, 1]",,,,undefined,6729,"[7, 9, 1]",True,0,0,0,"[1, 0]","[0, 0, 0]",There are four clubs.,response,1,"[1, 2, 6]",5,There are four circles.,"[0, 1]",There are four notes.,1,0,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",1761,True
"[0, 7, 9]",,,,undefined,7440,"[6, 4, 3]",True,2,1,0,"[0, 1]","[0, 0, 0]",There are four but no more than four squares.,response,0,"[5, 3, 6]",5,There are four but no more than four stars.,"[1, 0]",There are four diamonds.,0,1,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",2683,True
"[6, 5, 7]",,,,undefined,5168,"[9, 7, 2]",False,3,0,0,"[1, 0]","[3, 0, 0]",0 + 6 = ?,response,1,"[6, 0, 6]",5,7 + 2 = ?,"[0, 1]",There is a star.,0,1,exh-subclausal,2,18.714966666666665,False,,,"[8, 0, 0]",1993,False
"[3, 8, 2]",,,,undefined,6304,"[6, 8, 5]",True,2,0,1,"[1, 0]","[0, 0, 0]",There are four but no more than four spades.,filler,0,"[3, 9, 6]",5,There are four but no more than four stars.,"[1, 0]",There are four spades.,0,0,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",2149,True
"[8, 3, 7]",,,,undefined,7332,"[3, 7, 9]",True,0,0,1,"[1, 0]","[0, 0, 0]",There is a spade.,filler,1,"[3, 2, 5]",5,There is a spade.,"[0, 1]",There is a note.,1,0,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",2575,True
"[3, 5, 1]",,,,undefined,6526,"[5, 1, 3]",True,0,1,0,"[0, 1]","[0, 0, 0]",There is a star.,response,1,"[6, 7, 3]",5,There is a square.,"[0, 1]",There is a spade.,1,1,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",2564,True
"[0, 2, 5]",,,,undefined,5640,"[9, 6, 4]",True,1,0,0,"[1, 0]","[0, 0, 0]",There is a heart.,response,0,"[4, 1, 7]",5,There is a triangle.,"[1, 0]",There is a diamond.,0,0,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",1664,True
"[2, 8, 6]",,,,undefined,7524,"[15, 6, 9]",False,3,0,1,"[1, 0]","[0, 0, 0]",8 + 5 = ?,response,0,"[13, 8, 5]",5,6 + 9 = ?,"[1, 0]",Some of the symbols are ticks.,0,1,exh-subclausal,0,18.714966666666665,False,,,"[1, 0, 0]",3227,True
"[8, 1, 4]",,,,undefined,5400,"[10, 4, 6]",False,3,0,1,"[1, 0]","[5, 0, 0]",7 + 6 = ?,filler,1,"[13, 7, 6]",5,4 + 6 = ?,"[0, 1]",There are four notes.,0,1,exh-subclausal,1,18.714966666666665,False,,,"[2, 0, 0]",1731,False
"[0, 5, 4]",,,,undefined,9990,"[11, 6, 5]",True,3,1,1,"[0, 1]","[4, 0, 0]",4 + 0 = ?,filler,0,"[4, 4, 0]",5,6 + 5 = ?,"[1, 0]",Some of the symbols are diamonds.,0,1,exh-subclausal,0,18.714966666666665,True,,,"[8, 0, 0]",6351,True
"[1, 0, 8]",,,,undefined,7880,"[0, 5, 3]",True,2,0,0,"[1, 0]","[0, 0, 0]",There are four but no more than four triangles.,response,1,"[9, 1, 8]",5,There are four but no more than four diamonds.,"[0, 1]",There are four clubs.,1,0,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",3007,True
"[3, 4, 0]",,,,undefined,5798,"[4, 2, 2]",False,3,1,0,"[0, 1]","[2, 0, 0]",3 + 6 = ?,response,1,"[9, 3, 6]",5,2 + 2 = ?,"[0, 1]",There are four spades.,1,0,exh-subclausal,1,18.714966666666665,False,,,"[10, 0, 0]",1859,True
"[6, 7, 3]",,,,undefined,5838,"[6, 7, 2]",True,1,0,1,"[1, 0]","[0, 0, 0]",There is a note.,filler,1,"[8, 6, 5]",5,There is a star.,"[0, 1]",There is a star.,1,0,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",1817,True
"[1, 4, 0]",,,,undefined,10906,"[3, 7, 1]",True,0,0,0,"[1, 0]","[0, 0, 0]",There is a square.,response,1,"[5, 8, 7]",5,There is a spade.,"[0, 1]",There is a club.,1,0,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",2970,True
"[5, 0, 2]",,,,undefined,5448,"[12, 3, 9]",True,3,0,0,"[1, 0]","[5, 0, 0]",5 + 2 = ?,response,0,"[7, 5, 2]",5,3 + 9 = ?,"[1, 0]",There is a square.,1,0,exh-subclausal,2,18.714966666666665,False,,,"[4, 0, 0]",1811,False
"[3, 5, 6]",,,,undefined,7674,"[6, 6, 0]",False,3,0,1,"[1, 0]","[6, 0, 0]",4 + 6 = ?,filler,0,"[10, 4, 6]",5,6 + 0 = ?,"[1, 0]",There is a spade.,0,1,exh-subclausal,2,18.714966666666665,False,,,"[0, 0, 0]",2779,True
"[3, 2, 9]",,,,undefined,16470,"[7, 3, 1]",True,0,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are clubs.,response,1,"[1, 3, 0]",5,Some of the symbols are circles.,"[0, 1]",Some of the symbols are spades.,1,1,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",2683,True
"[3, 5, 9]",,,,undefined,6624,"[8, 1, 0]",True,0,0,1,"[1, 0]","[0, 0, 0]",There are four notes.,filler,0,"[8, 1, 3]",5,There are four notes.,"[1, 0]",There are four spades.,0,0,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",2014,True
"[0, 8, 1]",,,,undefined,9854,"[4, 1, 2]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are clubs.,response,0,"[1, 8, 3]",5,Some of the symbols are hearts.,"[1, 0]",Some of the symbols are diamonds.,0,0,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",3675,True
"[4, 1, 5]",,,,undefined,6314,"[7, 4, 1]",True,0,1,0,"[0, 1]","[0, 0, 0]",There are four clubs.,response,1,"[1, 8, 6]",5,There are four circles.,"[0, 1]",There are four hearts.,1,1,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",2549,True
"[7, 3, 8]",,,,undefined,5613,"[8, 3, 1]",True,1,1,0,"[0, 1]","[0, 0, 0]",There is a spade.,response,0,"[3, 7, 4]",5,There is a note.,"[1, 0]",There is a circle.,0,1,exh-subclausal,2,18.714966666666665,True,,,"[0, 0, 0]",1771,True
"[8, 1, 2]",,,,undefined,9730,"[1, 5, 6]",True,2,0,1,"[1, 0]","[0, 0, 0]",Some but not all of the symbols are squares.,filler,0,"[5, 2, 6]",5,Some but not all of the symbols are clubs.,"[1, 0]",Some of the symbols are notes.,0,0,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",4360,True
"[8, 4, 6]",,,,undefined,6212,"[7, 5, 2]",True,1,1,0,"[0, 1]","[0, 0, 0]",There are four squares.,response,1,"[5, 0, 4]",5,There are four circles.,"[0, 1]",There are four notes.,1,1,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",2290,True
"[0, 5, 7]",,,,undefined,11572,"[0, 9, 4]",True,2,1,1,"[0, 1]","[0, 0, 0]",Some but not all of the symbols are stars.,filler,1,"[6, 7, 0]",5,Some but not all of the symbols are diamonds.,"[0, 1]",Some of the symbols are diamonds.,1,1,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",2391,True
"[2, 1, 9]",,,,undefined,5534,"[8, 5, 9]",True,1,1,1,"[0, 1]","[0, 0, 0]",There are four spades.,filler,1,"[3, 6, 2]",5,There are four notes.,"[0, 1]",There are four ticks.,1,1,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",1960,True
"[5, 6, 3]",,,,undefined,5266,"[11, 7, 4]",True,3,1,1,"[0, 1]","[5, 0, 0]",5 + 5 = ?,filler,1,"[10, 5, 5]",5,7 + 4 = ?,"[0, 1]",There are four squares.,0,1,exh-subclausal,1,18.714966666666665,False,,,"[5, 0, 0]",1684,False
"[3, 4, 9]",,,,undefined,8392,"[1, 7, 2]",True,0,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are hearts.,filler,1,"[4, 0, 5]",5,Some of the symbols are clubs.,"[0, 1]",Some of the symbols are spades.,1,0,exh-subclausal,0,18.714966666666665,True,,,"[0, 0, 0]",2645,True
"[2, 6, 4]",,,,undefined,6439,"[1, 5, 0]",True,0,1,1,"[0, 1]","[0, 0, 0]",There are four ticks.,filler,0,"[2, 7, 3]",5,There are four clubs.,"[1, 0]",There are four ticks.,0,1,exh-subclausal,1,18.714966666666665,True,,,"[0, 0, 0]",2234,True
,bot_check,"[0, 'Mary']",Mary,undefined,,,,,,,,,,,,,6,,,,,,,,12.644416666666666,,,1,,,
"[3, 5, 8]",,,,undefined,25628,"[3, 0, 5]",True,0,0,1,"[1, 0]","[0, 0, 0]",There are four notes.,response,1,"[8, 7, 6]",6,There are four spades.,"[0, 1]",There are four spades.,1,0,exh-subclausal,1,12.644416666666666,True,,,"[0, 0, 0]",12565,True
"[5, 4, 0]",,,,undefined,32659,"[1, 9, 7]",False,1,0,0,"[1, 0]","[0, 0, 0]",Some of the symbols are clubs.,response,0,"[1, 9, 0]",6,Some of the symbols are clubs.,"[1, 0]",Some of the symbols are squares.,1,1,exh-subclausal,0,12.644416666666666,False,,,"[0, 0, 0]",18303,False
"[1, 3, 6]",,,,undefined,20939,"[3, 6, 1]",True,1,0,0,"[1, 0]","[0, 0, 0]",There is a tick.,response,1,"[2, 8, 0]",6,There is a spade.,"[0, 1]",There is a club.,1,0,exh-subclausal,2,12.644416666666666,True,,,"[0, 0, 0]",8434,True
"[4, 7, 6]",,,,undefined,10695,"[7, 0, 7]",True,3,0,0,"[1, 0]","[2, 0, 0]",1 + 1 = ?,response,0,"[2, 1, 1]",6,0 + 7 = ?,"[1, 0]",There is a heart.,1,0,exh-subclausal,2,12.644416666666666,False,,,"[4, 0, 0]",2877,False
"[6, 2, 0]",,,,undefined,42950,"[1, 3, 8]",False,2,0,1,"[1, 0]","[0, 0, 0]",There are four but no more than four circles.,response,1,"[7, 2, 6]",6,There are four but no more than four clubs.,"[0, 1]",There are four stars.,0,1,exh-subclausal,1,12.644416666666666,False,,,"[0, 0, 0]",21437,False
"[8, 3, 4]",,,,undefined,15942,"[0, 5, 3]",True,1,0,1,"[1, 0]","[0, 0, 0]",There are four triangles.,filler,0,"[9, 8, 2]",6,There are four diamonds.,"[1, 0]",There are four notes.,0,0,exh-subclausal,1,12.644416666666666,True,,,"[0, 0, 0]",5137,True
"[4, 2, 5]",,,,undefined,14026,"[1, 0, 3]",False,2,1,1,"[0, 1]","[0, 0, 0]",There are four but no more than four spades.,response,0,"[3, 5, 0]",6,There are four but no more than four clubs.,"[1, 0]",There are four hearts.,1,0,exh-subclausal,1,12.644416666666666,False,,,"[0, 0, 0]",3454,False
"[1, 7, 3]",,,,undefined,14762,"[5, 3, 2]",True,0,1,1,"[0, 1]","[0, 0, 0]",There are four ticks.,filler,1,"[2, 3, 6]",6,There are four squares.,"[0, 1]",There are four clubs.,1,1,exh-subclausal,1,12.644416666666666,True,,,"[0, 0, 0]",3198,True
"[1, 4, 2]",,,,undefined,15321,"[5, 7, 0]",False,2,1,1,"[0, 1]","[0, 0, 0]",There are four but no more than four stars.,filler,0,"[6, 8, 5]",6,There are four but no more than four squares.,"[1, 0]",There are four clubs.,1,0,exh-subclausal,1,12.644416666666666,False,,,"[0, 0, 0]",8626,False
"[7, 8, 3]",,,,undefined,12310,"[7, 3, 9]",True,0,1,0,"[0, 1]","[0, 0, 0]",Some of the symbols are hearts.,response,0,"[4, 9, 0]",6,Some of the symbols are circles.,"[1, 0]",Some of the symbols are circles.,0,1,exh-subclausal,0,12.644416666666666,True,,,"[0, 0, 0]",3053,True
"[5, 2, 9]",,,,undefined,16706,"[7, 5, 8]",False,0,0,1,"[1, 0]","[0, 0, 0]",There are four circles.,response,1,"[7, 9, 2]",6,There are four circles.,"[0, 1]",There are four squares.,0,1,exh-subclausal,1,12.644416666666666,False,,,"[0, 0, 0]",3550,False
"[6, 5, 8]",,,,undefined,8444,"[4, 9, 0]",True,0,1,0,"[0, 1]","[0, 0, 0]",There is a circle.,response,0,"[7, 4, 3]",6,There is a heart.,"[1, 0]",There is a star.,0,1,exh-subclausal,2,12.644416666666666,True,,,"[0, 0, 0]",2830,True
"[7, 8, 9]",,,,undefined,11706,"[6, 1, 4]",True,0,1,0,"[0, 1]","[0, 0, 0]",There is a spade.,response,1,"[3, 8, 9]",6,There is a star.,"[0, 1]",There is a circle.,1,1,exh-subclausal,2,12.644416666666666,True,,,"[0, 0, 0]",3139,True
"[0, 6, 9]",,,,undefined,10125,"[10, 8, 2]",True,3,1,1,"[0, 1]","[5, 0, 0]",9 + 1 = ?,filler,1,"[10, 9, 1]",6,8 + 2 = ?,"[0, 1]",Some of the symbols are diamonds.,0,1,exh-subclausal,0,12.644416666666666,False,,,"[7, 0, 0]",4864,False
"[0, 9, 6]",,,,undefined,9378,"[7, 0, 7]",False,3,1,1,"[0, 1]","[5, 0, 0]",1 + 8 = ?,filler,0,"[9, 1, 8]",6,0 + 7 = ?,"[1, 0]",There is a diamond.,1,0,exh-subclausal,2,12.644416666666666,False,,,"[0, 0, 0]",4615,False
"[9, 3, 2]",,,,undefined,8129,"[8, 5, 3]",True,1,0,1,"[1, 0]","[0, 0, 0]",There are four stars.,filler,1,"[6, 5, 8]",6,There are four notes.,"[0, 1]",There are four triangles.,1,0,exh-subclausal,1,12.644416666666666,True,,,"[0, 0, 0]",3057,True
"[0, 6, 4]",,,,undefined,15610,"[6, 2, 8]",True,1,1,1,"[0, 1]","[0, 0, 0]",There are four triangles.,response,1,"[9, 8, 4]",6,There are four stars.,"[0, 1]",There are four diamonds.,1,1,exh-subclausal,1,12.644416666666666,True,,,"[0, 0, 0]",2751,True
"[5, 9, 2]",,,,undefined,8024,"[3, 4, 1]",True,1,0,1,"[1, 0]","[0, 0, 0]",There are four triangles.,response,0,"[9, 1, 2]",6,There are four spades.,"[1, 0]",There are four squares.,0,0,exh-subclausal,1,12.644416666666666,True,,,"[0, 0, 0]",3097,True
"[7, 9, 1]",,,,undefined,10572,"[6, 1, 4]",False,1,1,0,"[0, 1]","[0, 0, 0]",Some of the symbols are stars.,response,1,"[6, 3, 7]",6,Some of the symbols are stars.,"[0, 1]",Some of the symbols are circles.,0,0,exh-subclausal,0,12.644416666666666,False,,,"[0, 0, 0]",1894,False
"[2, 5, 1]",,,,undefined,11633,"[6, 3, 7]",False,2,1,0,"[0, 1]","[0, 0, 0]",There is a circle but nothing else.,response,1,"[7, 8, 4]",6,There is a star but nothing else.,"[0, 1]",There is a tick.,0,0,exh-subclausal,2,12.644416666666666,False,,,"[0, 0, 0]",2963,False
"[6, 9, 3]",,,,undefined,24997,"[2, 3, 1]",False,2,0,0,"[1, 0]","[0, 0, 0]",There are four but no more than four stars.,filler,0,"[6, 5, 1]",6,There are four but no more than four ticks.,"[1, 0]",There are four stars.,1,1,exh-subclausal,1,12.644416666666666,False,,,"[0, 0, 0]",20431,False
"[0, 5, 4]",,,,undefined,22101,"[7, 6, 1]",False,3,1,1,"[0, 1]","[8, 0, 0]",2 + 9 = ?,response,0,"[11, 2, 9]",6,6 + 1 = ?,"[1, 0]",There are four diamonds.,1,0,exh-subclausal,1,12.644416666666666,False,,,"[7, 0, 0]",12535,False
"[4, 2, 3]",,,,undefined,6731,"[10, 4, 6]",True,3,1,0,"[0, 1]","[7, 0, 0]",8 + 2 = ?,response,1,"[10, 8, 2]",6,4 + 6 = ?,"[0, 1]",There is a heart.,0,1,exh-subclausal,2,12.644416666666666,False,,,"[5, 0, 0]",1480,False
"[6, 9, 8]",,,,undefined,8694,"[3, 9, 5]",True,0,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are spades.,filler,1,"[3, 9, 6]",6,Some of the symbols are spades.,"[0, 1]",Some of the symbols are stars.,1,0,exh-subclausal,0,12.644416666666666,True,,,"[0, 0, 0]",2895,True
"[9, 7, 1]",,,,undefined,5742,"[10, 4, 6]",True,3,1,1,"[0, 1]","[3, 0, 0]",1 + 3 = ?,filler,1,"[4, 1, 3]",6,4 + 6 = ?,"[0, 1]",Some of the symbols are triangles.,0,1,exh-subclausal,0,12.644416666666666,False,,,"[9, 0, 0]",1913,False
"[9, 4, 5]",,,,undefined,7173,"[8, 9, 7]",False,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are circles.,filler,1,"[7, 4, 5]",6,Some of the symbols are notes.,"[0, 1]",Some of the symbols are triangles.,0,1,exh-subclausal,0,12.644416666666666,False,,,"[0, 0, 0]",3147,False
"[5, 4, 1]",,,,undefined,14914,"[13, 6, 7]",True,3,0,1,"[1, 0]","[3, 0, 0]",9 + 4 = ?,filler,0,"[13, 9, 4]",6,6 + 7 = ?,"[1, 0]",There is a square.,1,0,exh-subclausal,2,12.644416666666666,False,,,"[4, 0, 0]",3023,False
"[9, 2, 1]",,,,undefined,5491,"[6, 9, 4]",True,1,1,1,"[0, 1]","[0, 0, 0]",There is a spade.,filler,0,"[3, 9, 8]",6,There is a star.,"[1, 0]",There is a triangle.,0,1,exh-subclausal,2,12.644416666666666,True,,,"[0, 0, 0]",2483,True
"[3, 6, 5]",,,,undefined,9182,"[11, 7, 4]",True,3,1,0,"[0, 1]","[0, 0, 0]",1 + 9 = ?,filler,0,"[10, 1, 9]",6,7 + 4 = ?,"[1, 0]",There are four spades.,0,1,exh-subclausal,1,12.644416666666666,True,,,"[8, 0, 0]",3648,True
